"Code","Name","Detail"
" AEN 101"," INTRODUCTION TO AEROSPACE ENGINEERING"," HISTORY 4 1 History of aviation and space technology, Introduction to Aerospace Engineering, Scope of Aerospace Engineering , Aerospace Industry, Classification of aircrafts and spacecrafts CURRENT STATUS 4 2 Current status and future of Aerospace Industry (UAV, MAV etc), anatomy of aircrafts and spacecrafts AIRCRAFT SYSTEMS 4 3 Brief introduction to various aircrafts instruments and systems, Classification of aircraft structural components, aircraft materials, Wind Tunnel BASIC AERODYNAMICS 4 4 Airfoils, nomenclature, lift, drag, Thrust, weight and moments, force diagram in takeoff, cruise and landing AIRCRAFT ENGINES 4 5 Introduction to aircraft propulsion Piston engine, Turboprop, Turbojet, Turbofan, Ramjet, Scramjet, Pulsejet and Pulse detonation engine 6 AIRPORT SYSTEMS 2 Run way, Taxi way, Apron and Hangars LAYOUT 6 @ Layout of aircraft and spacecraft, location of control surfaces, engines, fuel tanks and other systems Course"
" AEN 102","  ELEMENTS OF AERODYNAMICS","s     INTRODUCTION  Fluid statics, Continuum and free molecular flows, inviscid and viscous flows, incompressible and compressible flows Newtonian and Non-Newtonian flows Streamlines, Pathlines, Streaklines, Pitot static tube, measurement of air-speed, pressure coefficient Aerodynamic force and moments Dimensional analysis, non-dimensional parameters, Mach number, Reynolds number, flow similarity  10     KINEMATICS OF FLUID FLOW  Lagrangian and Eulerian methods, Description of properties in a moving fluid, Gradient of a scalar field , Divergence and Curl of a vector field, Line, Surface and Volume integrals and their relationship ,Finite control volume and molecular approach, Divergence of velocity     DYNAMICS OF FLUID FLOW  Equation of conservation of mass for control volume, special form of equation of conservation of mass, differential form of equation of conservation of mass, Euler's and Navier-Stoke equations Derivation of Bernaulli's equation for inviscid and viscous flow fields Momentum equation in integral form Application of momentum equation  10     INVISID-INCOMPRESSIBLE FLOW  Incompressible flow in a duct , Condition on velocity for incompressible flow Laplace's equations Vorticity and circulation ,Potential function, stream function Basic elementary flows Uniform flows, source flow, Doublet flow and Vortex flow Superimposition of elementary flows Non lifting and lifting flow over a circular cylinder, comparison with real flow over circular cylinder Kutta-Joukowski theorem, generation of lift  10     BOUNDARY LAYER THEORY  Boundary layer concept, boundary layer properties, derivation of Prandtl's boundary layer equations, Blasius solution, Karman's Integral equation Turbulent boundary layer over a plate, skin friction drag, boundary layer control"
" AEN 103"," AIRCRAFT SYSTEMS AND INSTRUMENTATION","s     FLIGHT CONTROL SYSTEMS  Primary and secondary flight control, flight control linkage systems, push-pull control rod system, cable and pulley systems, high lift control systems, flight control actuation, linear actuator, mechanical actuator, mechanical screw jack actuator, direct drive actuation, fly-by- wire actuator, electro-hydrostatic actuator, electro-mechanical actuator  8     ENGINE CONTROL SYSTEMS  Engine technology and principle of operation, fuel flow control, air flow control, control systems, control system parameters, input signals, output signals, engine starting, ignition control, engine rotation, throttle levers, starting sequence, engine oil systems     HYDRAULIC AND ENVIRONMENT CONTROL SYSTEMS  Hydraulic circuit design, hydraulic actuation, hydraulic fluid, fluid pressure and temperature, fluid flow rate, hydraulic piping and pumps, need for controlled environment, heat sources, ram air cooling, fuel cooling, engine bleed, bleed flow and temperature control, Air cycle refrigeration, humidity control, hypoxia, tolerance     PITOT STATIC INSTRUMENTS  SYSTEMS Pitot static system, air speed indicator, altimeter, mach meter, mach/airspeed indicator, vertical speed indicator     GYROSCOPIC INSTRUMENTS Gyroscope and its properties, gyro horizon, turn and bank indicator, turn coordinator, direct reading magnetic compass, directional gyroscope     NAVIGATINAL INSTRUMENTS Very high and ultra high frequency radio aids, VOR, TACAN, VORTAC,VHF direction finding, GPS, instrument landing system, microwave landing system"
" AEN 201"," AIRCRAFT MATERIALS AND PROCESSES","s     INTRODUCTION  Properties of Flight Vehicle Materials, Importance of strength/weight ratio of materials for Aerospace Vehicles structures, Importance of temperature variations, Factors affecting choice of material for different parts of airplane  6     LIGHT METAL ALLOYS  Aluminum alloys, Heat treatment, High strength and high corrosion alloys Magnesium alloys and their properties, Heat treatment, Application of these alloys to Aerospace Vehicles     AIRCRAFT STEELS Classification of alloys steels, Effect of alloying elements, Carbon Steel V/S Alloys     HIGH STRENGTH AND HEAT RESISTANT ALLOYS  Classification of heat resistant materials, Iron, Nickel and Cobalt base alloys, Refractory materials, Ceramics, Titanium and its alloys, Properties of Inconel, Monel  K-Monel, Nimonic and Super Alloys, Application to Aerospace Vehicles        COMPOSITE MATERIALS Introduction, Fibers, Glass fibers, Carbon fibers, Aramid fibres, Baron fibres, Engineeringceramix Matrix Materials — their functions, various types, curing of resins     METAL JOINING PROCESSES Weldability, Standard welding practices eg gas welding, resistance welding Welding of light alloys, Riveting, advanced joining methods        JIGS AND FIXTURES FOR AIRCRAFT General design, Method of Location of cylindrical and flat surface Design principles of Jig for Wing, Fuselage and other components of aircraft     AIRCRAFT MANUFACTURING PROCESSES  Profiling, Hydroforming, Marforming, Bending rolls, Sparmilling, Spark erosion and Powdered metallurgy Integral machining, Contour etching High energy rate forming Manufacture of honeycomb structures, General methods for construction of aircraft and aero engine parts           Course"
" AEN 202"," AIRCRAFT PROPULSION"," REVIEW OF BASIC THERMODYNAMICS 8 1 Basic thermodynamics, Processes, Gas laws and Properties Enthalpy, pressure temperature, entropy Introduction to heat transfer, heat exchangers Introduction to propulsion AIRCRAFT PISTON ENGINES 10 2 The internal combustion engine process, brief history, GI and CI engines,4-stroke and 2-     stroke engines, air standard cycles, various types of arrangements for multi cylinder aircraftengines ,their merits and operational efficiencies, cooling, lubricating and ignition systems, valve timing diagrams, IHP, BHP and SH-P, performance, effect of altitude, power required and power available, supercharging                                                                                                           AIRCRAFT GAS TURBUNE ENGINES 10 Air standard Brayton cycle, actual gas turbine engine cycle, compressor and turbine efficiencies , compressor and turbine work, centrifugal and axial type of compressors, their 3 compressive action, relative merits in operations, combustion chambers, simplex and duplex bumers, expansion process, turbine materials for different components, engine intake and exhaust nozzles, afterburners, thrust augmentation, turboprop, turbo shaft and turbofan engines, multi shaft gas turbine engines, thrust equation, installed and uninstalled thrust PROPELLERS 10 Ideal momentum theory, blade element theory, activity factor, airscrew coefficients, 4 numerical problems on the performance of propellers, selection of propellers, fixed, variable and constant speed propellers, material for propellers, momentum theory applied to helicopter rotor OTHER PROPULSION SYSTEMS 4 5 Introduction to other propulsion systems such as Ram jet, Scram jet, Rocket propulsion, Pulse detonation engine, electric and hybrid propulsion  zi Number of"
"  AEN 203","  AIRCRAFT PERFORMANCE","s     THE STANDARD ATMOSPHERE AND AIRFLOW  Standard atmosphere, Relation between geo-potential and geometric altitudes, Pressure, temperature and density altitudes Relations for isothermal and gradient atmospheric regions, Stability of atmosphere, Measurement of air-speed Indicated airspeed, Calibrated airspeed, Equivalent airspeed and True airspeed, Airspeed indicator  6     AERODYNAMIC DRAG  Drag, Causes of drag, Types of drag, Factors affecting drag Drag polar, Compressibility drag, Design for minimum drag, Estimation of drag of complete airplane for subsonic and supersonic cases, Terminal velocity     AERODYNAMIC CHARACTERISTICS  Force and Moment coefficients from dimensional analysis and their variation with angle of attack, Lift, Drag and moment coefficients, Relations between lift and drag, Aerodynamic center, Center of pressure, Pressure distribution over 2-D airfoil, Estimation of aerodynamic characteristics from measured pressure distribution, Variation of aerodynamic coefficients with Reynold's Number and Mach number, Effect of span, aspect ratio, plan form, sweep, taper and twist on aerodynamic characteristics of a lifting surface, Delta wing aerodynamics     HIGH LIFT DEVICES Maximum lift coefficient of airfoils, Leading and trailing edge devices, The deep stall, Propulsive lift, V/STOL configurations     AIRCRAFT PERFORMANCE IN STEADY FLIGHT  Straight and Level flight, Variation of drag with flight speed, Minimum drag conditions, Variation of power with flight speed, Minimum power conditions, Gliding flight, Shallow and steep angles of glide, Sinking speed, Minimum sinking speed, Time of descent, Climbing flight at shallow angles, Correction for steep angles, Time to flight, Maximum rate of climb     AIRCRAFT PERFORMANCE IN ACCELERATED FLIGHT  Take-off and landing, Calculation of take-off ground run and take off distances, Minimum ground run, Assisted take-off, Calculation of landing ground run and landing distances, Range and endurance, Numerical problems     MANEUVERS ENERGY METHODS  Maneuvering performance, Introductory comments on spins and stalls, Analysis of Spin, Various types of stalling behaviour of wings, Turning flight, Maneuvers in 3-D space, Karman’s method of JATO, Energy method of performance calculations           Course"
"  AEN 204","  AIRCRAFT STRUCTURES","s     BASIC ELASTICITY  Equations of equilibrium, plane stress, stresses on inclined planes, principal stresses compatibility equations ,plane strain ,principal strains, stress-strain relationship, numerical problems, 2- D problems, stress functions, bending of end loaded cantilever  Ti     STATICALLY DETERMINATE AND INDETERMINATE STRUCTURES  Statically determinate and indeterminate trusses Truss analysis by method of joints, Truss analysis with single and double redundancy, other structures with single redundancy, shear center     MATRIX METHODS  Introduction of flexible and stiffness methods, choice of method stiffness matrix for elastic springs, analysis of pin jointed framework, stiffness matrix for uniform beams Finite Element Method for continuum structures     ELASTIC BUCKLING OF COLUMNS AND PLATES  Buckling load of Euler columns with different end conditions, beam columns, effect of initial imperfections, pure bending of thin plates, plates subjected to distributed transverse loads     LOADS ON AIRCRAFT Pure translation, inertia forces on rotating bodies, load factors for translational acceleration, load factors for angular acceleration, numerical problems     ANALYSIS OF AIRCRAFT COMPONENTS,  Loads on structural components, functions of structural components, fabrication of structural components, connections, V-n diagram, Gust loads, crack propagation, stress concentration factor, crack tip plasticity, crack propagation rates"
"  AEN 206","  ENGINEERING ANALYSIS AND DESIGN"," 1-D PROBLEMS 7  1 Introduction, finite element modeling, coordinates and shape functions, assembly of Global Stiffhess matrix and load vector, properties of K, quadratic shape function, temperature effects  2-D PROBLEMS 7  2 Constant strain triangle modeling, potential energy approach, element stiffness, Galerkin approach, stress calculations, temperature effects, problem modeling and Boundary conditions  AXISYMMETRIC LOADING a Axisymmetric formulation, triangular element, potential energy approach, rotating flywheel,  3 surface traction, Galerkin approach, stress calculations, temperature effects, problem modeling and Boundary conditions, press fit on elastic shaft, Belleville spring, thermal stress problem  4 WING DESIGN a Structural design of wing spar, ribs and stringers using finite element methods  5 FUSELAGE DESIGN a Structural design of bulkheads, fuselage rings and longerons using finite element methods  6 TAIL PLANE DESIGN 7 Structural design of elevator, rudder and_fin using finite element methods        Course"
"  AEN 207","  AERO ENGINE DESIGN"," INTRODUCTION TO GAS DYNAMICS 5 1 Basics, simple flows, nozzle flow and design, nozzle operating characteristics for isentropic flow , shock waves in nozzle flow, inlet design and sizing, exhaust nozzles, thrust reversing and thrust vectoring, nozzle coefficients, nozzle performance CENTRIFUGAL COMPRESSOR 8 2 Principal of operation, Work done, Pressure rise, Diffuser and compressor characteristics, numerical problems Design characteristics AXIAL FLOW COMPRESSOR 8 Euler’s turbo machinery equations, axial flow compressor analysis, cascade theory, velocity 3 diagrams, flow annulus area stage parameters, degree of reaction, axial flow compressor coefficients, stage pressure ratio, repeating stage-repeating row-mean line design, performance and design AXIAL FLOW TURBINE 8 4 Introduction to turbine analysis, velocity diagrams, mean radius stage calculations, stage parameters, loading and flow coefficients, degree of reaction, axial flow turbine stage analysis, performance and design PREDICTION OF PERFORMANCE OF GAS TURBINES 7 5 Component characteristics, off design operation of single shaft gas turbine, free turbine and jet engine Method of displacing equilibrium running line COMBUSTION SYSTEMS 6 6 Operational requirements, types of combustion systems, design aspects of combustion chamber, combustion process, combustion chamber performance, Practical problems - - Number of"
"  AEN 208","  AIRCRAFT STRUCTURAL ANALYSIS AND DESIGN"," INELASTIC BUCKLING 7 1 Flexural - torsional buckling of thin walled columns, buckling of thin plates, inelastic buckling of plates ,experimental determination of critical load, local instability, instability of stiffened panels, full tension and semi tension field beams AIRFRAME LOADS 7 2 Aircraft inertia loads, symmetric maneuver loads, steady pull out, correctly banked turn, gust loads, gust envelope, numerical problems, fatigue, safe life and fail-safe structures , designing against fatigue, fatigue strength of components, prediction of aircraft fatigue life BENDING AND SHEAR OF OPEN AND CLOSED TUBES a 3 Symmetrical bending, direct stress due to bending, deflection due to bending, approximation for thin walled section, shear of open section beams, shear centre, shear of closed section beams, 4 STRUCTURAL IDEALIZATION aAnalysis of combined open and closed sections in shear and torsion, effect of idealization on bending, shear and torsion analysis of open and closed section beams, deflection of open and closed section beams                                                                                   STRESS ANALYSIS OF WING AND FUSELAGE a 5 Tapered wing spar, open and closed sections, beams with variable stringer areas, bending, shear and torsion analysis of fuselage STRESS ANALYSIS OF AIRCRAFT COMPONENTS 7 6 Analysis of wing in bending, shear and torsion, stress analysis of tapered wings, cut — outs in wings, stiffened webs, fuselage frame, wing ribs 3 e Number of"
