"Code","Name","Detail"
 CEN 101, 5 I  C E  DCC,"Li STRUCTURAL ENGINEERING 8 Introduction to various aspects associated with analysis and design of various structural  systems, Buildings, Bridges and other infrastructure projects  2 HYDRAULICS/WATER RESOURCES ENGINEERING 5 Hydrological cycle, Flows in pipes and channels, Reservoirs/Dams, Hydro-power  3 GEOTECHNICAL ENGINEERING 3 Soil as construction material, Problems in plain and hilly areas, Earth retaining structures, Foundations for different types of structures, Embankments/ levees/earth and tockfill dams, Ground improvement techniques, Underground structures like tunnels, Shafts and caverns, Slopes engineering  4 TRANSPORTATION ENGINEERING 4 Fields of Transportation Engineering, Transportation Systems — Their suitability and utility, Transportation problems and roles of traffic engineers and transportation planners Types of pavements, Pavement materials — conventional and new materials, Structure of a pavement, Airfield pavement  S ENVIRONMENTAL ENGINEERING 4 Infrastructure required for water and wastewater Engineering  6 GEOMATICS ENGINEERING 4 Importance of surveying in Civil Engineering, Types of maps, Satellite images and aerial photographs, GPS survey, 3-D modeling, GIS applications in Civil Engineering projects  Course"
  GSN101,  INTRODUCTION TO ENVIRONMENTAL SCIENCES  GSC," Multi-discipline nature of environmental studies as applied to different engineering streams - 6 Definitions, scopes and explanations  2 Types of Ecosystems — System dynamics — Understanding ecosystems, Ecosystem degradation, 8  Resource utilization, Ecosystem diversity, Habitat classification    3 Natural Resources Renewable and non-renewable- Natural resources and associated problems, Non-  8 renewable resources, Renewable resources          4  Energy and Environment- Fossil fuel, Geothermal, tidal, nuclear, solar, wind, hydropower  10 biomass  5 Environment pollution- Air Pollution, Water Pollution, Soil Pollution, Marine Pollution, Noise 8 Pollution, Thermal Pollution, Nuclear hazards  6 Cleaner Production and life cycle analysis - LCA methodology, steps and tools, ELA and 8 Environment audit  7 Environment Development and Society- Emerging technology for sustainable development and 8      environment management, public participation and provision in management and legislation      Course"
 CEN 102, 5 B C  E  DCC," Ts INTRODUCTION TO BUILDING MATERIALS 7 Stones, Timber, Bricks, Cement, Manufacturing of Bricks  Cement, Concrete  2 FOUNDATIONS 4  Bearing capacity, Terms used, Spread, Pile, Well foundations, Grillage foundation and their suitability    3 BRICK MASONRY 4 Brick Masonry Terminology, Types of Bonds, English  Double Flemish Bond and their Merits  Demerits Hollow Block Masonry, types of walls, viz, load bearing and non-load bearing walls    4 DAMP PROOFING 3 Causes of dampness in buildings, ill effects and Remedial measures, Damp Proofing, Methods of Damp Proofing, Cavity Walls        5 DOORS, WINDOWS, LINTEL  ARCHES 4 Terminology, Types of Doors and Windows  Types of Lintel and Arches  6 FLOORS 3 Types of Floorings and their Construction Details  7 STAIRS  STAIR CASES 3  Terms used, Different Types of stair cases, proportioning, Dog-legged, half-turn and quarter turn stairs, classification of stair cases based on materials used    8 ROOFS  ROOF COVERINGS 3 Terms used, RCC and Wooden roofs, pitched and sloping roofs, Trussed Roofs, Roof Covering Materials          9 PLASTERING, POINTING AND PAINTING 2 Plastering and pointing, Painting and Distempering  10  FORMWORK AND SCAFFOLDING 1 Introduction to Formwork and Scaffolding  11  RATE ANALYSIS AND ESTIMATION 8  Rate analysis of materials  labour Types of Estimates, Detailed Estimate of Two Room Building Quantities of Earth work in roads  CanalsCour  ‘se"
   CEN 103,  F M DCC,"   1  INTRODUCTION  Fluids, Brief history of Fluid Mechanics, Properties of Fluid, Viscosity, Capillarity, Surface Tension, Compressibility, Normal and Shear Stresses in Fluid Flows, Regimes of Flow, Laminar Flow, Turbulent Flow and Rotational Flow  4    FLUID STATICS  Pascal’s Law of measurement of pressure, Types of forces on a fluid system, manometers and gauges, forces on partially and fully submerged bodies including that on curved surfaces, Buoyancy, stability of floating bodies, centre of gravity, Metacentric height    KINEMATICS OF FLUID FLOW  Langrangian and Eulerian methods, description of properties in a moving fluid, local and convective acceleration, Streamlines, Path lines, Streak lines, Laplace equation, Stream function, velocity potential and flownets    DYNAMICS OF FLUID FLOW  Equation of conservation of mass, differential form of continuity equation Extemal forces, Euler’s equation of motion, Bernoulli’s equation, simple application to one dimensional flow, linear momentum and angular momentum, momentum theorem, moment of momentum theorem    VISCOUS FLOW  Pressure gradient in steady uniform flow, flow between parallel plates, Qualitative aspects of viscous flows, Hagen-Poiseulli’s flow, Transition from laminar to turbulent flow, turbulent flow in circular pipe, Navier Stokes equation (without derivation)    FLOW THROUGH PIPES  Introduction, energy and hydraulics grade line, non-dimensional formulation of the pipe flow problem, head losses in pipes  pipe fittings, pipe in series  parallel, reservoir problem    DIMENSIONAL ANALYSIS AND SIMILITUDE Buckingham’s Theorem, non-dimensional groups, Reynold’s Number, Geometric, Kinematic and Dynamic Similarity, Hydraulic Models        FLOW MEASUREMENT Venturimeter, orifice meter, Pitot tube, Orifices, mouth pieces, notches, weirs, Current meter@ Z e 2 g  List of Experiments  Z 35    To measure the Flow Velocity by Orifice Meter    To measure the Flow Velocity by Venturimeter    To measure the Flow Velocity by V Notch      Determination of Minor losses in pipes    Determination of friction factors of pipes    Verification of Bernoulli’s theorem      2 2 2 Computation of various coefficients involving in through orifice 1 2 2 2 1  wlafalula}u}ro)e  To determination of the metacentric height of a given vessel under unloaded condition        Course"
  ESC 204, 5 S M,"   1 4 PROPERTIES OF MATERIALS  Introduction, uni-axial tension test, idealized stress- strain diagrams, isotropic, linear, elastic, visco-elastic and plastic materials, compression test, impact test, fatigue test, torsion and bending test    2 SIMPLE STRESSES  STRAINS 4 Concept of stresses and strains, relationship between elastic constants, extension of uniform bar  tapered bar under its own weight and due to load applied, stresses produced in compound bars due to axial loads, thermal stresses    COMPOUND STRESSES General state of stress, resultant stress and strain circle, prinicipal stresses and principal strains, Mohercircle for compound stresses and strais    4 SHEAR FORCE AND BENDING MOMENT IN BEAMS 6 Shear force, bending moment, Relation between load, SF and BM, SFD , BMD and axial force diagram for determinate beams under various types of loading    5 BENDING AND SHEAR STRESSES IN BEAMS 5 Pure bending , bending stresses, eccentric loading combined bending and direct stresses , Middle Third rule, composite beams, Variation of shear stresses for various cross-sections of a beam      6 ANALYSIS OF PLANE TRUSSES 5 Different types of trusses, Analysis of plane trusses by method of joints and method of sections  it 4  TORSION Torsion equation for circular shaft , shafts under action of varying torque, torsion of composite shafts    COLUMNS  STRUTS Criteria for stability of columns, Buckling of columns, Euler’s theory for various end restraints, Rankine's formula, eccentrically loaded struts, struts with initial curvature, struts with lateral loading      DEFLECTION OF BEAMS Slope and Deflection in beams by double integration method, Macaulay’s method, Moment area method under the action of various loading conditions slope and deflection in built in and propped beams(Course"
  CEN 201,  S M DCC," Te PROPERTIES OF MATERIALS 3 Introduction, tensile test, idealized stress- strain diagrams, isotropic, linear, elastic, visco-elastic and plastic materials, compression test, impact test, fatigue test, torsion and bending test  2 SIMPLE STRESSES AND STRAINS 4 Concept of stresses and strains, relationship between elastic constants, extension of uniform bar and tapered bar under its own weight and due to load, stresses produced in compound bars due to axial loads, thermal stresses  3 COMPOUND STRESSES 4 General state of stress, resultant stress and strain, principal stresses and principal strains, Mohr’s circle for compound stresses and strains  4 SHEAR FORCE AND BENDING MOMENT IN BEAMS 5 Types of loads, Shear force, bending moment, Relation between load, SF and BM,  SFD, BMD and axial force diagram for determinate beams under various types of loading  Se BENDING AND SHEAR STRESSES IN BEAMS 5 Pure bending, bending stresses, combined bending and direct stresses, Middle Third tule, composite beams, Variation of shear stresses for various cross-sections of a beam  6 ANALYSIS OF PLANE TRUSSES 5 Different types of trusses, Analysis of plane determinate trusses by method of joints, method of sections and graphical method  7  TORSION 4 Torsion equation for circular shaft, shafts under action of varying torque, torsion of composite shafts  8  COLUMNS AND STRUTS A Criteria for stability of columns, Buckling of columns, Euler’s formula for various end restraints, Rankine's formula, eccentrically loaded struts, struts with initial curvature, struts with lateral loading  °  DEFLECTION OF BEAMS 5 Slope and Deflection in beams by double integration method, Macaulay’s method and Moment area method slope and deflection in built in and propped beams  10  FAILURE THEORIES 3 Theories of failure maximum principal stress theory, maximum principal strain theory, maximum shear stress theory, maximum strain energy theory, distortion energy theory, comparison of the failure theories          Course"
   CEN 202,  GEO-INFORMATICS DCC,"1 INTRODUCTION TO SURVEYING AND MAPPING 5 Maps, Map Scales, Map Numbering Systems, Principles and Classification of surveying, Linear and Angular measurements Compass and Theodolite  Errors in measurements Methods of Control Establishment  2 LEVELLING 4 Basic Definition, Methods of Levelling, Classification of Levelling, Level  Levelling staff, Basic Principles of Levelling, Methods for Reducing Levels  3 TACHOMETRIC SURVEYS 3 Principle of Tacheometry, Methods of Tacheometry, Instruments Tacheometric Computations Uses of Tacheometry  4 TRAVERSE COMPUTATION 3 Selection of Traverse Station, GALE’S Traverse Table, Checks in Traverse,  Calculation of Independent Co-ordinates  a PLANE TABLE SURVEYS AND CONTOURING 5 Principles of Plane Table surveys, Methods of Plane Tabling Contouring Characteristics of Contours, Methods of Plotting Contour Detail plotting and Contouring using Plane Table Surveys  6 TOTAL STATION (TS) SURVEYS 2 Introduction to total station, Advantages of TS,  q GPS SURVEYS 3 Introduction to GPS surveys, Segments of GPS, Applications of GPS  8 CURVES AND CURVE LAYOUT 4 Definitions  Notations, Designation of Curve, Element and setting out of Simple Circular Curve and Compound Curve  9 INTRODUCTION TO PHOTOGRAMMETRY 3 Basics of Photogrammetry, applications of photogrammetry, types and geometry of aerial photograph, flying height and scale, Relief displacement  10 INTRODUCTION TO REMOTE SENSING (RS) 5 Basic RS, Interaction with atmospheric and earth surface, Platforms and sensors RS Data Products, Resolution, Applications of Remote Sensing  11 INTRODUCTION TO GEOGRAPHICAL INFORMATION SYSTEM 5    (GIS) Definition of GIS, Vector and raster data, database creation, Digital Elevation Model (DEM), Applications of GISCourse"
   CEN 203,  TRANSPORTATION ENGINEERING - I DCC,"  J INTRODUCTION 4 Highway planning - basic principles, road development and planning in India Highway alignment and Surveys  2 GEOMETRIC DESIGN OF HIGHWAYS 8 Design of cross-section elements, sight distances, design of horizontal and vertical alignments  3 TRAFFIC STUDIES 8 Traffic studies and their presentation, PCU and axle load survey, Capacity and Level of service, highway safety measures  4 HIGHWAY MATERIALS AND CONSTRUCTION 6 Aggregates and their characterization, Bituminous materials, tests on Aggregates and Bituminous materials Construction Procedure for WBM, Bituminous Bound macadam and Cement Concrete roads  5 PAVEMENT DESIGN 6 Classification of pavements and factors affecting design Design methods of flexible pavements and of Rigid pavements  6 HIGHWAY DRAINAGE 3 Longitudinal and cross drainage, Surface and subsurface drainage  qT HIGHWAY BRIDGE 3 Types of bridges, components, selection criteria  8  HIGHWAY MAINTENANCE 4 General causes of pavement failure, failures in flexible and rigid pavements and their maintenance  a List of Experiments NiGaBee or tarag  1 __ To find out crushing strength of road aggregates 1  2 __ To find out hardness of road aggregates 1  3 __ To find out toughness of road aggregates a  4__ To find out the durability of road aggregates 1  5 __ To find out the shape and size of road aggregates 1  6 __ To determine the hardness of bitumen 1  7  To determine the ductility of bitumen 1  8 __ To determine the softening of bitumen 1  9  To determine the viscosity and specific gravity of bitumen 1  10  To determine the CBR value of soils and aggregate 2  11  To carry out traffic volume study 1  12  To carry out traffic speed study 1  13  To carry out traffic parking study 1Course"
   CEN 204,  ENVIRONMENTAL ENGINEERING - I DCC," INTRODUCTION 2 1 Introduction to environmental engineering, issues related to different spheres of the environment, global issues, climate change, engineering solutions WATER De Water Supply systems, Need for planned water supply schemes, Sources of Water, 2  choice of the sources, water demand, demand estimation    COMPONENTS OF WATER SUPPLY SYSTEM Collection and conveyance of water intakes, pumps and pipes selection and          design 6 Quality of water testing, physical, chemical and bacteriological parameters, standards 4 3 Treatment of water unit processes and operations, sedimentation, coagulation and flocculation, filtration, disinfection, miscellaneous treatments, process and design 9 Distribution system system components, service reservoirs, use of design software 5 like ‘EPANET’, ‘WaterNet’, ‘WaterGem’ 5 Operation and Maintenance, Instrumentation and control 2 AIR Composition and properties of air, Quantification of air pollutants, Monitoring of 4 air pollutants, Air pollution- Occupational hazards, Urban air pollution, automobile  pollution, Chemistry of combustion, Automobile engines, quality of fuel, operating conditions and interrelationship Air quality standards, equipment and strategies for Air pollution Control 6 5 NOISE  Basic concept, measurement and various control methods 3 ENVIRONMENTAL IMPACT ASSESSMENT 6 Concepts, various stages, Environmental Audit- Life Cycle Assessment, ISO      14000, ISO 18000 3Course"
   CEN 205,  TECHNICAL COMMUNICATION DCC," Te INTRODUCTION TO COMMUNICATION 1 Need for Effective Communication  2 LISTENING SKILLS 2  Listening as an active skill Types of Listeners Listening for general content Listening to fill up information Intensive Listening Listening for specific information  Developing effective listening skills Barriers to effective listening skills    3 READING SKILLS 2 Previewing techniques Skimming Scanning Understanding the gist of an argument  Identifying the topic sentence Inferring lexical and contextual meaning recognizing coherence and sequencing of sentences Improving comprehension skills    4 WRITING SKILLS 2 Sentence formation Use of appropriate diction Paragraph and Essay Writing Coherence and Cohesion            SY TECHNICAL WRITING 4 Differences between technical and literary style, Elements of style Common Errors  6 LETTER WRITING 2 Formal, informal and demi-official letters business letters  i JOB APPLICATION 3 Cover letter, Difference between bio-data, CV and Resume  8 REPORT WRITING 3 Basics of Report Writing Structure of a report Types of reports  9 INTERVIEWS SKILLS 3  Types of Interviews Ensuring success in job interviews Appropriate use of non- verbal communication      10  GROUP DISCUSSION 3 Difference between group discussion and debate Ensuring success in group discussions  11  TECHNOLOGY-BASED COMMUNICATION 3  Netiquettes effective e-mail messages power-point presentation enhancing editing skills using computer software          Course"
