"Code","Name","Detail"
"  ECN 101"," Z INTRODUCTION T ELECTRONICS  COMMUNICATION
ENGINEERING","  1 INTRODUCTION TO ELECTRONICS History of Electronics Engineering,  4 Applications of electronics, Electronic components  2 DIGITAL PRINCIPLES Digital waveforms, digital logic, moving and storing digital  5 information, digital operations, digital integrated circuits  3 COMMUNICATION PRINCIPLES Introduction to communication system,  6 communication time line, elements of communication system, time and frequency domain, different types of noise, Electromagnetic spectrum and allocations  4 MAJOR FIELDS OF ELECTRONICS  APPLICATIONS Signal processing,  13  telecommunication engineering, control system engineering, Embedded systems, VLSI design engineering           Course"
" ECN 102"," ANALOG ELECTRONIC CIRCUITS -I","s     1  CIRCUIT THEORY FUNDAMENTALS Electrical quantities, Electrical components, Circuit laws and theorems, Circuit analysis, Measurement equipment  5     DIODES AND DIODE CIRCUITS  Diode, Diode models, Diode ratings, Rectifier circuits, Clippers, Clampers, Special purpose diodes- Zener diode, Tunnel diode, Varactor Photodiode, Light Emitting diode, Schottky diode, PIN diode     BIPOLAR JUNCTION TRANSISTORS Junction transistor, Regions of operation, Transistor configurations, Current components in a transistor, Transistor as an amplifier, characteristics of CB, CE and CC configuration     TRANSISTOR AND ITS BIASING Load line and Operating point, Bias stability, various biasing circuits, stabilization against variation in Ico, Vbe and beta, Bias compensation, Thermistor and Sensistor compensation, Thermal Runaway, Thermal stability     BJT MODELING Transistor as an amplifier, comparison of CB, CC and CE amplifier stages, BJT modeling, Important parameters Input Impedance, Output Impedance, voltage and current gain, Transistor h-parameters, conversion formulas, remodel, analysis of transistor amplifiers using h-parameters     BJT FREQUENCY RESPONSE Frequency Response of single stage CE amplifier, Multistage amplifiers, Direct coupled, RC coupled and Transformer coupled, frequency response of multistage amplifiers, cascode circuits     FIELD EFFECT TRANSISTORS Introduction, FET Construction, types of FET, Characteristics of FETs, MOSFET types and working principle, FET biasing, FET small signal model, FET applications     POWER AMPLIFIERS Classification of amplifiers, Single tuned and double tuned amplifiers, analysis of class A, B, C and AB amplifiers, push pull amplifier, complementary symmetry, amplitude distortion in amplifiers, harmonics, power distortion, heat sinks"
" ECN 103","  DIGITAL DESIGN","of     1  BOOLEAN ALGEBRA AND LOGIC GATES  Theorem of Boolean algebra, reducing Boolean expressions, logic gates, Universal building blocks- NAND and NOR gates, logic diagram, converting circuit to universal logic, positive and negative logic  3     MINIMIZATION TECHNIQUES Sum of Products and Products of Sum forms, Minterms  Maxterms, Karnaugh Map for two, three, four five and six variables, Quine-McCluskey method     COMBINATIONAL CIRCUIT DESIGN Half adder, full adder, subtractor, BCD adder, comparator, code converter, encoder decoder, multiplexer, demultiplexer, parity detector and generator     FLIP FLOPS  1-bit memory cell, clocked and unclocked flip flops, S-R Flip flop, D flip flop, JK Flip flop, T flip flop, edge triggered flip flop, race around condition , Master slave flip flop, conversion of flip flops     COUNTERS AND SHIFT REGISTERS  Ripple counter, design of Mod-N ripple counter, design of synchronous sequential circuits, State machines, synchronous counter, decade counter, ring counter, Johnson counter, serial in serial out shift register, serial in parallel out shift register, parallel in serial out shift register and parallel in parallel out shift register, bidirectional shift register, universal shift register     DIGITAL MEMORIES  PROGRAMMABLE LOGIC ROM, RAM (static and dynamic), PROMS, PLA and PAL     A/D AND D/A CONVERTERS  Weighted resistor D/A converter, Binary ladder D/A converter A/D Converters- flash type, successive approximation, counter ramp type, dual slope type, characteristics of ADC and DAC     LOGIC FAMILIES Characteristics of logic families, RTL, TTL, ECL, DTL, DCTL, ?L, HTL, CMOS logic families"
"  ECN 201","  COMMUNICATION ENGINEERING"," 1 TRANSMISSION LINES iy Concept of Distributed elements, Equations of Voltage and Current, Types of Transmission lines, Standing Waves and Impedance Transformation, Lossless and Low loss Transmission lines, Power transfer on a transmission line, Transmission line calculations using Smith Chart ,Applications of transmission lines 2 WAVEGUIDES az Rectangular Waveguides, Field analysis and characteristics of TE and TM modes, Losses in waveguides, Circular waveguides 3 INTRODUCTION TO COMMUNICATION SYSTEMS 2  Principles of Communication Signal to Noise Ratio, Channel Bandwidth, Rate ofCommunication, Modulation              4 AMPLITUDE MODULATION oe Base band and carrier communication, Amplitude modulation Double side Band (DSB), Single Side Band (SSB), Vestigial Sideband (VSB), AM Receiver  Be ANGLE MODULATION ab Concept of Instantaneous Frequency, Bandwidth of Angle Modulation, Generation of FM wave, Demodulation of FM, Interference of Angle Modulated Systems, FM Receivers  6 PULSE MODULATION SYSTEMS 4 Sampling theorem, Pulse Amplitude Modulation, Pulse Width Modulation, Pulse Position Modulation, Pulse Code Modulation, Differential PCM, Delta Modulation, Adaptive Delta Modulation  di ANTENNAS AND WAVE PROPOGATION  8  The Potential Functions, Elemental Dipole Antennas (The Electric (Hertzian) Dipole, Magnetic Dipole (Loop), Antenna Characteristics, The Long Dipole and Monopole Antennas, Antenna Arrays, Antenna Directivity and Gain, Antenna Coupling, The Friis Transmission Equation, Effect of Ground Reflections on Signal Transmission, Introduction to wave propogation           Course"
"  ECN 202","  SIGNALS AND SYSTEMS","uresCONTINUOUS TIME SIGNALS  Signals and their classification, size of the signal, continuous and discrete time signal properties-periodicity, absolute integral, convolution, Hilbert transform, signal operations on elementary CT/DT signals, Shifting, flipping, multiplication  10     DISCRETE TIME SIGNALS Sampling, Aperiodic signal representation by Fourier integral, concept of continuous and discrete spectrum, essential and absolute bandwidth, correlation, auto-correlation and cross-correlation and their properties, energy spectral density, power spectral density, calculation of the energy and power signal respectively, properties of Fourier transform and applications, Discrete time Fourier transform(DTFT), Inverse DTFT  10     SYSTEMS  Systems and their classification, Linear Time invariant systems and its properties, stability and causality, linear constant coefficients, difference equation, Z-Transform and its properties, inverse z transform, Examples Continuous and discrete time systems and their applications, band pass signals, band pass systems     TIME AND FREQUENCY DOMAIN ANALYSIS  Representation of basic circuits in terms of generalized frequency and their response, step response of RL, RC, RLC circuits, impulse response of RC  RL networks, pulse response of RL, RC networks     INFORMATION THEORY Concept of information, Entropy, Rate of Information Transmission, Redundancy, Efficiency and Channel capacity-Coding theory-Minimum Redundancy Coding-continuous channel, Transmission Rate and Capacity of Continuous Channels           Course"
"  ECN-203","  MICROPROCESSOR AND APPLICATIONS","s     MICROPROCESSOR 8086  Introduction to Microprocessors and Microcomputers, 8086 Microprocessor architecture, Pin configuration, Register organisation of 8086, physical memory organisation, General bus operation, Special processor activities, Minimum Mode 8086 System and Timings, Maximum Mode 8086 System and Timings  6     INSTRUCTION SET AND ASSEMBLER DIRECTIVES Machine Language Instruction Formats, Addressing Modes of 8086, Instruction Set of 8086, Assembler Directives and Operators     ASSEMBLY LANGUAGE PROGRAMMING WITH 8086 Machine Level Programs, Machine Coding the Programs, Programming with an Assembler, Assembly Language Example Programs     SPECIAL ARCHITECTURAL FEATURES AND RELATED PROGRAMMING Introduction to stack, stack Structure of 8086, Interrupts and Interrupt Service Routines, Interrupt Cycle of 8086, Non Maskable Interrupt, Maskable Interrupt, Interrupt Programming, MACROS, Timings and Delays     BASIC PERIPHERALS AND THEIR INTRFACING WITH 8086  Semiconductor Memory Interfacing, Dynamic RAM Interfacing, Interfacing I/O Ports, PIO 8255 (Programmable Input-Output Port), Modes of Operation of 8255, Interfacing Analog to Digital Data Converters, Interfacing Digital to Analog Data Converters     SPECIAL PURPOSE PROGRAMMABLE PERIPHERAL DEVICES AND THEIR INTERFACING  Programmable Interval Timer 8253, Introduction to Serial Communication, Programmable Communication Interface 8251     NUMERIC DATA PROCESSOR (8087) Pin configuration, NDP data types, Processor architecture, interfacing with 8086, Exceptions, Instruction set"
" ECN 204"," ANALOG ELECTRONIC CIRCUITS —II","s     1  FEEDBACK AMPLIFIERS AND OSCILLATORS  Concept of feedback, Positive and negative feedback, Voltage and current feedback, Series and shunt feedback, Effect of feedback on performance characteristics of an amplifier Basic principles of sinusoidal oscillators, tuned collector, tuned base, Hartley oscillator, Colpitt’s Oscillator, Phase Shift Oscillator, Wein Bridge Oscillator, Crystal Oscillator, Frequency stability of Oscillator  10     OPERATIONAL AMPLIFIERS  Differential amplifier, cascaded differential amplifier, block diagram of a typical Opamp, Ideal Opamp, Open loop Opamp configurations, Opamp Characteristics, closed loop Opamp configurations, voltage series feedback or Non inverting amplifier, Voltage shunt feedback or inverting amplifier     APPLICATIONS OF OP-AMP Summing scaling and averaging amplifiers, Subtractor, voltage to current converter, current to voltage converter, Integrator, Differentiator, Comparator, Instrumentation Amplifier     NON LINEAR CIRCUITS  Comparator, Zero crossing detector, Schmitt trigger, Logarithmic and antilogarithmic amplifiers, Precision rectifiers, Sample and Hold circuit, Clippers and clampers using Opamp, Peak detector     ACTIVE FILTERS  Filter specifications, design of low pass, high pass, band pass and band reject filters using operational amplifiers Design of Butterworth and Chebyshev filters, higher order filters State variable filters     MULTIVIBRATORS  Switching action of a transistor, Transistor switching times, MOSFET as a switch, Multivibrators-Monostable, Bistable, Astable, Unsymmetrical/symmetrical triggering, Schmitt trigger, 555 timer-block diagram and working, 555 timer as monostable, astable and bistable multivibrator     PHASE-LOCKED LOOP Operating Principle, PLL Operation and PLL applications"
"  ECN 206","  ENGINEERING ANALYSIS AND DESIGN","  1 INTRODUCTION TO SYSTEM MODELLING 8 Basic simulation modeling review of probability and statistics, random number generation  2 PROGRAMMING  SIMULATION WITH LAB VIEW 15 Components, tools, controls  indicators, Local and Global variables, shift registers, formula node, arrays  clusters, data acquisition, instrument interfacing, interfacing of sensors, design of combinational and sequential circuits applications based on lab view  3 PROGRAMMING AND SIMULATION WITH MATLAB 15 Introduction to MATLAB, data types, 2D-3D plotting, histogram, polar plots, matrix manipulation, 2D-3D matrix visualization, spectral analysis of various signals, solving linear / non linear equations, system design  simulation with SIMULINK, use of Communication  Signal Processing tool boxes  4, CASE STUDIES 4 Based on Analog / Digital Circuits   a Number of"
" ECN 207"," COMPUTER NETWORKS"," OVERVIEW OF DATA COMMUNICATION AND NETWORKING 3 1 Data communications, Networks, The Internet, Protocols and standards, Layered tasks, OSI model, TCP /IP protocol Architecture, History of the computer network PHYSICAL LAYER 5 2 Data rate limit, Transmission impairments, Line coding, Block coding, Sampling, Transmission mode, Modulation of digital data, Telephone modems, Modulation of analog signal, FDM, WDM, TDM, Guided media, Unguided media DATA LINK LAYER 8 Types of errors, Detection, Error correction, Flow and error control, Stop and wait ARQ, go 3 back n ARQ, Selective repeat ARQ, HDLC, Point to point protocol, PPP stack, Random access, Controlled access, Channelization, Traditional Ethernet, Fast Ethernet, Gigabit Ethernet NETWORKING AND INTERNETWORKING DEVICES 8 4 Repeaters, Bridges, Type of Bridges, Routers, Routing concepts, Gateways, Internetworks,  ARP, IP, ICMP, IPV6, Unicast routing, Unicast routing protocol, Multicast routing,Multicast routing protocols, introduction to Security, Cryptography, and SSL, Security - firewalls,DoS, etc     TRANSPORT LAYER  Process to process delivery, User datagram protocol (UDP), Multiplexing and Demultiplexing, Connection less transport (UDP), Principles of reliable data transfer, Transmission control protocol (TCP), Data traffic, Congestion, Congestion control, Quality of service     APPLICATION LAYER DNS, Electronics mail architecture and services, message formats and transfers, WWW architectural overview, static and dynamic web pages, HTTP, Digital audio and video     WIRELESS NETWORKS  Cordless system, Wimax and IEEE 80216 broadband wireless access standards, Mobile IP, Wireless Application Protocol, IEEE 802 Architecture, IEEE 80211 Architecture and Services, IEEE 80211 Medium Access Control, IEEE 80211 Physical Layer, Other IEEE 80211 Standards, Wi-Fi Protocol Access, Bluetooth and IEEE 80215, ad-hoc wireless, and sensor networks     SWITCHING  Circuit Switching, Space division switching, Time division switching, Space and time division switching combinations, Packet switching, Data gram approach, Virtual circuit approach, message switching, Network Layer connection oriented and connectionless services, ATM, ISDN, MPLS, GMPLS           Course"
"  ECN 208","  VLSI DESIGN"," PHYSICS AND MODELING OF MOSFETS 8     Basic MOSFET Characteristics — Threshold Voltage,Body Bias concept, Gradual ChannelApproximation, Current-Voltage Characteristics — Square-Law Model, MOSFET Modeling — Drain-Source Resistance, MOSFET Capacitances, Short Channel Effects, Geometric Scaling Theory and its effects—Full-Voltage Scaling, Constant-Voltage Scaling                                            FABRICATION AND LAYOUT OF CMOS INTEGRATED CIRCUITS 4  2 Overview of Integrated CircuitProcessing — Oxidation, Photolithography, Self-Aligned MOSFET, Isolation and Wells — LOCOS, Trench Isolation, CMOS Process flow, Stick Diagram and Layout - MOSFET Dimensions, Design Rules, Latch-up  MOS INVERTERS ab  3 CMOS Inverter Resistive load inverter, nMOS load inverter, CMOS inverter, switching threshold and noise margin concepts and their evaluation, switching characteristics- delay time calculation  COMBINATIONAL MOS LOGIC CIRCUITS 5  4 Switching Properties of MOSFETs nMOSFET/ pMOSFET Pass Transistors, Transmission Gate Characteristics, MOSFET Switch Logic, TG-based Switch Logic, MOS and CCOS logic circuits, Power Dissipation in CMOS Digital Circuits DYNAMIC LOGIC CIRCUIT CONCEPTS AND CMOS DYNAMIC LOGIC  8 FAMILIES  5 Charge Leakage, Charge Sharing, Dynamic RAM Cell, Bootstrapping, Clocked-CMOS, Pre- Charge/ Evaluate Logic, Domino Logic, Multiple-Output Domino Logic, NORA Logic, Single-Phase Logic  x a Number of"
