"Code","Name","Detail"
"  EEN 101","  INTRODUCTION TO ELECTRICAL ENGINEERING","  1 OVERVIEW OF ELECTRICAL ENGINEERING 1 General introduction to the field of Electrical Engineering and its sub- disciplines  ENERGY RESOURCES 3  2 Conventional and non-conventional energy resources Availability of resources Principle of energy conversion and its utilization National and International energy trends Global warming and greenhouse effects  GENERATION 4  3 Generation of electrical power, synchronous generator Conventional power generation — Hydro, Thermal, Nuclear and Gas Power Renewable energy generation Generated voltage waveform, voltage and frequency level Governor and Excitation System  TRANSMISSION 4 Purpose of transmitting power, AC transmission voltage levels Power transformer  4 Transmission lines, single line diagram of power transmission network Protective Equipments used in the network Types of faults Transmission substation HVDC Transmission  DISTRIBUTION 4  5 Distribution network and substation single line diagram of distribution network Distribution transformer Overhead lines and underground cables Protective equipment, grounding and earthing  6 ELECTRICAL MACHINES 2 Transformers — principle, construction and operation Rotating Machines-types UTILIZATION 3  7 Types of load- Heating, motor, traction, lighting and fans Load characteristics Consumer loads Power electronic equipment  METERING 3  8 Active and reactive power, apparent power, voltage, current and power measurement Energy meters  ELECTRICAL WIRING CONCEPTS 2  9 Residential wiring diagram, Symbols of Switches, Fuse, rheostat, SPDT, DPDT, contacts, contactors, MCB Safety and Protection POWER QUALITY AND CONTROL 2  10 Nature of non linear loads Problems due to non-sinusoidal current Use of electronics,  microprocessor and control systems           Course"
"  EEN 102","  NETWORKS AND SYSTE","s     SINUSOIDAL STEADY STATE ANALYSIS  Sinusoids, Phasors, Impedance and admittance, Kirchhoff’s law in frequency domain, impedance combinations, Steady State Analysis Nodal and Mesh analysis, thevenin and Norton equivalent AC Power Analysis Instantaneous and average power, max average power transfer, RMS value, apparent power and power factor, complex power, conservation of AC power Three Phase Circuits types of load and source connections, power in balanced three phase circuits, star delta transformations Network Theorems compensation, superposition, reciprocity, millman and tellegen theorem  8     TRANSIENT NETWORK ANALYSIS  Continuous time and discrete time signals, systems and their properties causality, stability, time invariance, linearity, invertibility, stability Complex frequency and Laplace transforms, circuits analysis in s domain, poles, zeros, transfer Functions and driving point impedances and convolution Step and impulse response of RL, RC, LC, RLC circuits, initial and final conditions Fourier analysis of circuits with non-sinusoidal periodic excitation     NETWORK TOPOLOGY  Concept of Network Graphs, tree, link, cut set, network matrices, node incidence matrix, loop incidence matrix, cut set incidence matrix, network analysis using network incidence matrices     TWO PORT NETWORKS AND THEIR CHARACTERIZATION  Open circuit, short circuit, hybrid and transmission parameters, series parallel and tandem connection of two port networks, multi port networks, multi terminal networks, indefinite admittance matrix and its properties     NETWORK SYNTHESIS  Elements of realizability theory causality and stability, hurwitz polynomials, positive real functions, elementary synthesis procedure Synthesis of one port network with two kind of element L-C Driving point Immitances, synthesis of R-L-C Functions Synthesis of Transfer Functions  Properties of transfer functions, Zeros of transmission, synthesis of Yx and Z21 with a 1-Q termination, synthesis of constant resistance networks           INTRODUCTION TO FILTERSSeries and parallel resonance, single and double tuned circuits Passive filters lowpass, highpass, bandpass and bandstop filters Difference between actual and ideal frequency response                                                                                                                                           a Number of"
"  EEN 103","  ELECTRICAL MEASURE) ‘T AND INSTRUMENTATION","s     INTRODUCTION  Functional elements of an instrument, static and dynamic characteristics, errors in measurement, statistical evaluation of measurement data, standard and calibration Measurement of Error, Accuracy and Precision, significant figures, types of error, Statistical analysis of data, probability of errors, limiting errors  6     ANALOG INSTRUMENTS  Electromechanical instuments — moving, coil, moving iron, electrostatic instruments, current, voltage and power measurements, induction type energy meter, frequency meter, power factor meter, megger, magnetic measurements, instrument transformers  10     SENSORS AS TRANSDUCERS  Classification of Transducers, selection of transducers resistive, capacitive and inductive transducers, piezo electric Transducers, optical and digital transducers, transducers for measurement of displacement, temperature, level, flows, pressure, velocity and acceleration     BRIDGE MEASUREMENTS  Wheatstone Bridge, Kelvin Bridge, ac bridge and their application for the measurement of self-inductance and mutual inductance, Wagner Ground connection, measurement of capacitance, Measurement of low and high resistance     ANALOG ELECTRONIC INSTRUMENTATION Analog electronic voltmeters, tuned and sampling voltmeters, Analog electronic wattmeter and energy meter     SIGNAL GENERATORS AND ANALYZERS Introduction to signal generators, characteristics of signal generators, multi-vibrators, CRO, harmonic distortion and spectrum analyzer     DIGITAL ELECTRONIC MEASUREMENT Digital counter-timer and frequency meter, time standards, digital voltmeter and multimeter, accuracy and resolution considerations, comparison with analog electronic instruments           List  of Experiments  Number of Turns     To calibrate de voltmeter by direct reading de potentiometer  1     To measure active and reactive power in a single phase circuit by one Wattmeter method     To measure active and reactive power in a three-phase circuit by two Wattmeter method     To measure power and power factor by two wattmeter method incorporating instrument transformers     To calibrate a single phase energy meter with the help of a Wattmeter     To measure voltage, current and impedance by oscilloscope     To measure frequency and phase difference of a sinusoidal ac voltage using CRO     To study a strain gauge and plot its response to an application using Wheatstone bridge     To plot the characteristics of a thermistor and calibrate it for temperature measurement     To measure insulation resistance using megger     To measure sensitivity of Wheatstone bridge in half bridge and full bridge mode using strainguage     To plot I/O characteristics of various inductive, capacitive and optical transducers           se"
"  EEN 201","  MECHATRONII"," 1 INTRODUCTION TO MECHATRONICS 3  Introduction to Mechatronics System, Trends in Mechatronics (Evolution), Definitions of Mechatronics, Key Elements of Mechatronics     2 SYSTEMS AND INTELLIGENCE 8 System, Classification of System, Mechanistic System Classification Based on Input Energy, Mathematical Model and Function, Machine, Parts of Machine, Concepts of Machine, Classification of Machines based on Function and Size, introduction to induction motor, stepper motor, servomotor, linear motor System Intelligence , Properties of Intelligent System, System Intelligence Levels, Human Intelligence System, Future Generation System Intelligence Level, Expressing System Intelligence     3 SENSOR AND TRANSDUCER iy Introduction, Energy and Signal Flow in a Measurement System, Role of Measurement System, Sensors in Mechatronics System, Difference between Sensors and Transducers, Classification of Sensors, Based on Sensor Output Signal, Sensor Input Physical Parameters, Sensor Accuracy (Smart/Intelligent Sensor), Performance Terminology, Static Characteristics, Dynamic Characteristics Vision systems     4 SIGNAL CONDITIONING DEVICES 4 Signal Conditioning Processes, Signal Filtering, Circuit Protection, Signal Conversion, ADC and DAC, Logic Gates, Design of transducer, ADC-DAC interface using AIA     5 ACTUATORS 4 Actuators, Types of Actuators, Mechanical Actuation System, Electrical Actuation System, Pneumatic and Hydraulic Actuation System        6 INTELLIGENT CONTROL 12 Interfacing controller to System, On- Off Control, Continuous and discrete process Controller, Digital Logic Controller, Sequence Controller, Supervisory Controller , Direct Digital Controller Microprocessor, Microcontroller PLC Controller Different types of PLCs, Micro PLC, Modular PLC, I/O addressing, Memory organization of PLC, Programming of PLC, and application example SCADA, HMI, Advanced Control Applications in Mechatronics2 FAULT DIAGNOSTICS 4 System Fault Finding Techniques, Types of Fault Detection Technique, Fault Detection in Sensors, Fault Detection in Signal conditioning Devices, Fault Detection in Controlling Devices, Fault Detection in Actuators  8 CASE STUDY CNC, Bio mimicry, pick and place robot, sorting and packaging  « Number of"
"  EEN202","  ELECTRICAL POWER SYSTEMS"," GENERATION SYSTEMS 10 Principles of hydro, thermal, nuclear and renewable generation connected load, maximum  1 demand, demand factor, diversity factor, types of load, chronological load curve, load duration curve, mass curve, load factor, capacity factor, plant utilization factor base, peak and standby stations, selection of number and size of units  TRANSMISSION SYSTEMS 2 Overhead and underground transmission, transmission voltages Introduction to HVDC transmission Conductor materials, solid stranded, ACSR, hollow and bundle conductors  2 Different types and supporting structures and towers for over-head lines Parameters of transmission lines calculation of resistance, inductance and capacitance for different configuration of overhead transmission lines Elementary idea about transmission lines construction and Erection Corona and its effect  DISTRIBUTION SYSTEM 6 Radial, ring main network distribution systems Distribution Voltage, Choice of conductor  3 size for distributors Type and location of distribution substations Main equipment in distribution sub-station, supporting structures for distribution line conductors Distribution system voltage regulation  INSULATORS 4  4 Insulating materials, Types of insulators, voltage distribution over an insulator string String- efficiency, Equalizing voltage drops across insulators of a string  CABLES 4 Insulating materials, Types of LV and HV cables, Three core solid, oil filled and Gas  5 pressure cables, Effective conductor resistance, inductive reactance and capacitance of cables, grading of cables, Sheath and dielectric loss in cables, Elementary ideas about cable breakdown  PERFORMANCE AND MODELING OF TRANSMISSION LINES 9 Short transmission lines, voltage drop, regulation and efficiency calculations, Medium  6 transmission lines Normal T and PI, solution for voltage drop, regulation and efficiency Long Transmission lines, current and voltage relations, ABCD constants, circle diagrams, charging current and Ferranti effect  z Z Number of"
"  EEN 203","  ELECTRICAL MACHINES - I"," MAGNETIC CIRCUITS  1 Magnetic Circuit properties, Magnetic materials, magnetic circuit calculation, transformer  3  magnetic circuit, machine magnetic circuit  SINGLE PHASE STATIC TRANSFORMERS  Introduction to transformers types, core, winding, insulation, induced voltage, transformer on open circuit, ideal transformer, dot convention, equivalent circuit of practical transformer,  2 , i  - cr  ed Z  wae,  14 regulation and efficiency from approximate equivalent circuit Losses in a transformer calculation of eddy current and hysteresis losses, open circuit and short circuit tests Parallel operation of single phase transformers Autotransformer  POLYPHASE TRANSFORMERS Two phase transformations, three phase transformations, transformer connection for three  3 phase circuits using three identical transformers, detailed analysis and operational benefits of  8 different types of three phase transformers Y-Y, Y-A, A-Y, A-A Open delta and tee-tee connection of transformers, three phase connection for unbalanced loading  DC GENERATORS Generalized singly and doubly excited electromechanical conversion system DC machines principles and construction generator action, motor action, commutator, 4 commutation, interpolar and compensating windings, brushes, armature core Armature 10  windings types, coil pitch, commutator pitch, armature with more segments than slots, dummy elements in wave windings, parallel paths Armature reaction magnetizing action of armature currents, armature reaction and flux distribution curve, de-magnetizing and cross magnetizing ampere turnsDC generator back torque, magnetization characteristics, effect of speed upon voltage, leakage flux, separately and self excited generators, voltage buildup, external characteristics of series, shunt and compound generators, voltage regulation     DC MOTORS DC motor  back emf, variation of back emf, torque, power developed, armature current                                                                                                                             5 with speed for shunt series and compound motors, effect of saturation, speed regulation, 7 starters, speed control of DC motors, braking of DC motors universal motor « Number of"
" EEN-204","  ANALOG AND DIGITAL ELECTRONICS","  1 TRANSISTOR AND ITS BIASING S Review of diode and BJT, Load line andOperating point, Bias stability, various biasing circuits, Transistor h-parameters, conversion formulas, remodel, and analysis of transistor amplifiers using h-parameters  2 BJT FREQUENCY RESPONSE 5 Frequency Response of single stage CE amplifier, Multistage amplifiers, Direct coupled, RC coupled and Transformer coupled, frequency response of multistage amplifiers  3 FIELD EFFECT TRANSISTORS 4 Introduction, FET Construction, types of FET, Characteristics of FETs, MOSFET types and working principle, FET biasing, FET small signal model, FET applications  4 POWER AMPLIFIERS 4 Classification of amplifiers, Single tuned and double tuned amplifiers, analysis of class A, B,  C and AB amplifiers, push pull amplifier, amplitude distortion in amplifiers, harmonics, power distortion,  5 OSCILLATOR 3 Principle of sinusoidal oscillator, RC phase shift and Wein Bridge oscillator, Collpits and Hartley oscillator, Crystal Oscillator  6 MINIMIZATION TECHNIQUES 4 Sum of Products and Products of Sum forms, MintermsMaxterms, Karnaugh Map for two, three, four five and six variables, Quine-McCluskey method  7 COMBINATIONAL CIRCUIT DESIGN 4 Half adder, full adder, subtractor, BCD adder, comparator, code converter, encoder decoder, multiplexer, demultiplexer, parity detector and generator  8 MULTIVIBRATORS 5 1-bit memory cell, clocked and unclocked flip flops, S-R Flip flop, D flip flop, JK Flip flop,  T flip flop, edge triggered flip flop, race around condition, Master slave flip flop, conversion  of flip flops  9 SEQUENTIAL LOGIC DESIGN AND SHIFT REGISTERS 6  Ripple counter, design of Mod-N ripple counter, design of synchronous sequential circuits, State machines, synchronous counter, decade counter, ring counter, Johnson counter, serial  in serial out shift register, serial in parallel out shift register, parallel in serial out shift register and parallel in parallel out shift register, bidirectional shift register, universal shift register  10 A/D AND D/A CONVERTERS 2 Weighted resistor D/A converter, Binary ladder D/A converter A/D Converters- flash type, successive approximation, counter ramp type, dual slope type, characteristics of ADC and DAC  x a Number of"
"  EEN 206","  ENGINEERING ANALYSIS  DESIGN"," MODEL OF PHYSICAL SYSTEMS  1 Introduction to physical systems, Mass-spring-damper system, accelerometer, rotational  3 mechanical system, gear trains, liquid level systems, circuit models, RL, RC, LC, RLC series and parallel circuits with sinusoidal and non-sinusoidal excitations, diode rectifier  NUMERICAL METHODS FOR SOLUTION OF EQUATIONS Errors, Systems of linear equations, homogeneous and non-homogeneous linear equations,  2 polynomial equations, least squares fit, ordinary differential equations, Euler’s method, 9 Runge-Kutta method, Newton-Raphson method, Predictor corrector methods, numerical integration, forward and backward integration rules Trapezoidal rule, Simpson’s rule, Errors of integration  SIMULATION TECHNIQUES  3 Continuous state simulation, circuit level simulators, discrete-event simulation, Fixed time 6 step, variable time step, response analysis of circuits, DC analysis, AC analysis, transient analysis  PROGRAMMING IN MATLAB Programming a function, repetitive and conditional control structures, Iterative solution of 4 equations, polynomial interpolation, plotting and analysis, two-dimensional and three-  4  dimensional plots, Histograms, Polar plots, function evaluation, handling external files, saving and loading dataPSPICE CIRCUIT SIMULATOR                                                                                                                       5 Introduction, circuit descriptions, input files, nodes, circuit elements element values, sources,  3 output variables, analysis, DC sweep, transient and AC analysis, PSPICE models  6 DESIGN CASE STUDY 3 DC Motor speed control  « Number of"
"  EEN 207","  POWER ELECTRONICS"," 1  POWER ELECTRONIC DEVICES 5Introduction to power switching devices, basic structure and physics of device operation, switching and I-V characteristics (diodes, thyristors, GTO, BJT, Power MOSFET, IGBT) Series and parallel operation of thyristors                                                           2 PRACTICAL CONVERTER DESIGN CONSIDERATIONS 3 Snubber Circuits Function and type of snubber circuits, Turn off, turn on and Overvoltage Snubbers Gate and Base Drive Circuits Trigger techniques, optical isolators, protection circuits, isolation transformers  3 AC- DC CONVERSION CIRCUITS 8 Introduction to Power Processing, Principles of Steady State Converter Analysis Inductor volt-second balance, Capacitor Charge Balance and Small Ripple Approximation Line Commutated Rectifiers Natural Commutation of SCRS, lo and 3o half and fully controlled rectifier configurations with R, L, RL and RLE load Continuous and Discontinuous Conduction Mode Output Voltage and Source Current Analysis (THD, DPF, PF)  4 CHOPPER CIRCUITS 4 Types of chopper step up, step down Different classes of chopper circuits Class A, B, C, D,E for R, R-L and RLE load Types of commutation circuits  5 DC-DC SWITCH MODE CONVERTERS a Introduction to DC-DC Converters, Control of DC-DC Converters, Buck Converter, Boost Converter, Buck-Boost Converter, Cuk Converter, Full Bridge DC-DC Converter Forward, Push-Pull and Fly back converters Comparison of DC-DC Converters  6 AC VOLTAGE CONTROLLERS 4 Basic Principle, Analysis of 10 operation with R and RL Load, Load and Supply Current Characteristics 3@ Fully and Half controlled Regulator Analysis of operation for R and RL Load (various modes of operation) Load and Supply Current Characteristics  7 DC-AC CONVERSION Ti 1- © and 3- @ bridge inverters, Voltage Control of Three Phase Inverters Sinusoidal PWM,  60 Degree PWM, Third Harmonic PWM and Space Vector Modulation (SVM) Relationship between PWM and SVM Comparison of Various PWM Techniques Methods of Harmonic Reduction  8 CYCLOCONVERTORS 4 Basic Operational features and Operating Principles Mathematical Representation (output voltage and Input Current) of Static Frequency Changers Synthesis of the Output Voltage Waveform  , A Number of"
" EEN 208"," MICROPROCESSORS AND PERIPHERAL DEVICES","  MICROPROCESSOR 8086 8 Introduction to Microprocessors and Microcomputers, 8086 Microprocessor architecture, Pin  1 configuration, Register organisation of 8086, physical memory organisation, General bus operation, Special processor activities, Minimum Mode 8086 System and Timings, Maximum Mode 8086 System and Timings INSTRUCTION SET AND ASSEMBLER DIRECTIVES 9  2 Machine Language Instruction Formats, Addressing Modes of 8086, Instruction Set of 8086, , Data transfer, Arithmetic, Branch, loop, machine control, logical, shift and rotate instructions, I/O Assembler Directives and Operators ASSEMBLY LANGUAGE PROGRAMMING WITH 8086 4  3 Machine Level Programs, Programming with an Assembler, Assembly Language Example Programs SPECIAL ARCHITECTURAL FEATURES AND RELATED PROGRAMMING 6  4 Introduction to stack, stack Structure of 8086, Interrupts and Interrupt Service Routines, Interrupt Cycle of 8086, Non Maskable Interrupt, Maskable Interrupt, Interrupt Programming,   5 BASIC PERIPHERALS AND THEIR INTRFACING WITH 8086 iMemory interfacing, Programmable Interval Timer (8253/8254), Programmable Interrupt Controller (8259), Keyboard/Display Controller (8279), , DMA Controller (8237/8257) Interfacing I/O Ports, PIO 8255 (Programmable Input-Output Port), Operation of 8255, Interfacing Analog to Digital Data Converters, Interfacing Digital to Analog Data Converters                                                                                                                          SPECIAL PURPOSE PROGRAMMABLE PERIPHERAL DEVICES AND THEIR  5 6 INTERFACING Programmable Interval Timer 8253, Introduction to Serial Communication, Programmable Communication Interface 8251 Zz MICROPROCESSOR APPLICATIONS -Stepper motor control, Temp ControLete 3 3 e Number of"
