"Code","Name","Detail"
" MEN-101"," INTRODUCTION TO MECHANICAL ENGINEERING"," INTRODUCTION TO MECHANICAL ENGINEERING History, Role and Scope of  5 1 Mechanical Engineering, Introduction to the materials, Mechanical properties and their  engineering applications, Design consideration and basic steps in design     INTRODUCTION TO MACHINE ELEMENTS Introduction to springs, cams, shafts,  5 2 axles, bearings, flywheel and their applications Introduction to belts and gears drives and their engineering applications     INTRODUCTION TO SOURCES OF ENERGY AND POWER GENERATION  6 Introduction to sources of energy, and power generation, Mechanical, Electrical, hydraulic 3 sources of energy (layouts, element/component, description, advantages, disadvantages, applications) Introduction to Boiler, Turbines, Compressor, Belower Introduction to Refrigeration and Air conditioning     INTRODUCTION TO MANUFACTURING Basic Manufacturing Processes, casting,  5 4 welding, brazing and soldering, tools and machine tools and their application Introduction to various systems directly and indirectly involved in production system     INTRODUCTION TO INDUSTRIAL ENGINEERING  PROPERTY RIGHTS  4                                                     5 Basic concept of quality, product economy, production planning, and inventory Concept of property rights  6 RECENT AND FUTURE SCOPE Recent trends and future scope in Mechanical  3 Engineering  Course"
"  MEN-102","  ELEMENTS OF MANUFACTURING PROCESSES","s     MANUFACTURING Definition, classification Introduction to product design, manufacturing activities inside and outside the factory, planning and process sheet, selection of raw materials and storing, heat treatment  4     FOUNDRY RAW MATERIALS Fuels, fluxes, refractory and related materials Patterns Materials, types, allowances, colours scheme, pattern making and applications Moulding Materials, type, impurities and additives, mould making, testing of sand and mould Core types, core boxes, core making processes, testing, applications Furnaces and MECHANIZATION Melting practices, furnaces for melting of iron, steel and non ferrous metals, calculation of cupola charge, air requirement and efficiency     DESIGN OF CASTING Mechanism of solidifications, elementary design of gating system, runner and riser, pouring time calculation, degassing, fettling Special Processes Non-metallic, carbon dioxide, plaster, shell and permanent moulding, precision, investment, die, centrifugal and continuous casting Mercast process     CASTING OF COMPOSITES AND CERAMICS AI/SiC, Al/ZrO2, Al/AlO3-MMC hybrid MMC casting, properties and applications Casting of ceramics, properties and applications INSPECTION AND TESTING Inspections, destructive and nondestructive testing, casting defects, their remedial actions Introduction to Micro casting and applications     METAL FORMING ROLLING Hot, cold, splines, planetary, transverse, gear, thread rolling Rolling mills, power requirement Piercing, pipe and seamless tube manufacture Extrusion types and processes Drawability and testing of sheet metals Drawing Wire, rod and tube drawing, spinning, coining, flow turning, embossing, redrawing, shot penning Sheet metal working blanking, bending and drawing, punch and die set up Forging Types, smith, impression die, drop, closed and open die, upset, machine and press forging Hydraulic and pneumatic forging machine, elements of forging die design, draft angles, flash and gutter Bolt heads manufacturing Fullering, edging and cropping Special processes rotary swaging, ring, tandem rolling Tension, electro, hydraulic, magneto-electro and hybrid forming Lubricants used Defects in forming and remedial actions Introduction to micro forming     WELDING Definition, classification, mechanism of welding, weldability Are welding Principle, types, relative merits of AC  DC, welding machine Carbon, submerged, gas metal, electro-slag, electro-gas, MIG,TIG and plasma are welding Electrodes Types, classification and codification, selection and specific applications Resistance welding Principle, types, size of welds, spot, seam, projection, butt, high frequency resistance and percussion welding Spot-welding machines Solid state welding Cold, diffusion, ultrasonic, explosive, friction and forge welding Special welding Atomic hydrogen, laser beam, wet and dry welding Thermochemical welding Principle, types, applications     GAS WELDING Types, welding torch, pressure cylinder, regulator, gas storage, blow pipes, lighting up, welding techniques, different zone and temperature of flames, applications Oxy-flame cutting Principle, types, applications     BRAZING AND SOLDERING Principle, types, materials, application in marco and micro domain Inspection and testing Stage inspection, visual, magnetic particle, liquid penetration, stethoscopic (sound), leakage, destructive and non-destructive test Welding defects, their causes and remedies Introduction to advanced, micro welding, joining and deposition processes"
"  MEN-103","  ENGINEERING AND MACHINE DRAWING","  INTRODUCTION TO ENGINEERING GRAPHICS System of Projections Technical 4  1 lettering Orthographic projections 3-views Projection of oblique areas Circular features Dimensioning, Rules of dimensioning READING OF ORTHOGRAPHIC VIEWS Meaning of lines and areas Pictorial  4  2 sketching Missing views and missing lines General introduction to Isometric Projections Freehand sketching  3 Projections of Points, Lines and Planes Geometrical Constructions Elements of descriptive  4 geometry True length, True shape, minimum distance, true angles  4 Projection of Solids, sectioning Auxiliary planes and views 4  5 REQUIREMENTS OF PRODUCTION DRAWINGS Conventional representation, 3     Layout of drawing sheet, symbols of standard tolerances, machining symbols, Various typesof screw threads, nuts and bolts, screws, welding joints and riveted joints Introduction and familiarization of the code IS296                                6 INTRODUCTION TO AUTOCAD Basic commands and features, simple exercises of 3 points, lines, planes and solids on AutoCAD ASSEMBLY AND DIS-ASSEMBLY DRAWING EXERCISES ON SOME OF THE 6 7 FOLLOWING USING DRAWING SHEETS AS WELL AS AUTOCAD Couplings, Clutches, Knuckle and cotter joints, Pipe and pipe fittings, IC engine parts, Machine tool parts, Boiler mountings, Bearings, Screw Jack, Drill press vice  3 e Number of"
" MEN201"," ELEMENTS OF THERMODYNAMICS"," BASIC CONCEPTS Macroscopic and Microscopic Approach, Concept of Continuum,  5        Thermodynamic System, Surrounding and Boundary, Thermodynamic Equilibrium, State,Path, Process, cycle, Quasi-static Process, Reversible and Irreversible Process, Working Substance Thermodynamic Properties like Pressure, Volume and Temperature, Zeroth Law of Thermodynamics Temperature Scales, Concept of Heat and work in Thermodynamics     FIRST LAW OF THERMODYNAMICS Joule’s Paddle wheel Experiment Mechanical Equivalent of Heat, First Law for a closed system undergoing a Cycle, First Law for a closed system undergoing a change of state Different forms of stored Energy, Enthalpy, Energy of An isolated System, Perpetual Motion Machine of First kind  FIRST LAW APPLIED TO FLOW PROCESSES Flow Process and Control Volume, flow work, Flow Energy Equationan and its applications Throttling Process, Flow Work and Non Flow work Limitation of First Law     SECOND LAW OF THERMODYNAMICS Qualitative Difference between Heat and Work, Thermal Reservoir, Statements of 2nd Law by MaxPlanck and Claussius, Equivalence between two statements, Energy Analysis of Heat Engine, Refrigerator and Heat Pump Reversibility and Irreversibility, Causes of Irreversibility Carnot Theorem, Carnot cycle, Absolute Thermodynamic Temperature, Scale, Efficiency of the Reversible Heat Engine, Equality of Ideal Gas Temperature and Kelvin Temperature     ENTROPY Classius Theorem, Classius Inequality and concept of Entropy, Entropy change in an Irreversible Process, Application of Entropy Principle, Entropy Transfer with Heat Flow, Entropy generation in closed and open System, Thermodynamics Equations relating properties of System, Reversible Adiabatic work in a Steady flow System Entropy and direction, Entropy and disorder     AVAILABLE ENERGY AND AVAILABILITY Available Energy referred to a cycle, Quality of work, Maximum work in Reversible Process, Useful work, Dead State, Availability, Second Law Efficiency     GAS POWER CYCLES Air Standard efficiency, Mean Effective Pressure, Otto, Diesel, Dual, Brayton, Stirling and Ericson Cycle, Comparison of cycles     PROPERTIES OF GASES AND GAS MIXTURE  Equation of state of a gas, Properties of Mixture of gases, Internal Energy, Enthalpy and Specific heat of gas, mixtures, Entropy of gas Mixtures     PROPERTIES OF PURE SUBSTANCES h-S, T-S, p-v, p-t, diagram for a Pure Substance, Properties of Pure substance with special reference to water, Steam and its formation, Wet Dry, Saturated and Superheated Steam, sensible, Latent heat, Dryness fraction and its determination, Separating and Throttling calorimeter Enthalpy, Entropy and Internal Energy of Steam Use of Steam Table and Mollier Diagram, Basic Thermodynamic Processes of Steam in Closed and Open System and their representation on P-V and H-S chart     VAPOUR POWER CYCLE Carnot and Rankine Steam Power Cycle, Actual Vapour cycle Processes, Comparison of Carnot and Rankine cycle, Mean Temperature of Heat Addition, Reheat Cycle, Ideal Regenerative Cycle Reheat Regenerative Cycle, Feed Water Heater, Characteristics of an Ideal working fluid in Vapour Power cycle           Course"
"  MEN202","  KINEMATICS OF MACHINES","s     BASIC CONCEPTS  Kinematics and Dynamics of Machines, Mechanisms, Pairs, kinematic chain, four bar chain, Inversions of single and double slider crank chains, Degrees of freedom, Kutzbach’s equation Grubler’s criterionjoints and Numerical problems     VELOCITY AND ACCELERATION  Basic concepts of machines, link, Mechanism, Kinematic chain, relative motion of parts of mechanism, displacement, velocity, acceleration diagrams of all basic mechanisms including quick return motion mechanism Advance problems on velocity diagrams (relative velocity method, instantaneous center method) Kennedy theorem,,Klien’s construction, Ritterhaus’s construction, Bemnett’s construction, Acceleration diagram Coriolis component, advanced problems involving their application     KINEMATIC SYNTHESIS OF MECHANISM  Movability, Number synthesis, Frudenstein’s equation, Chebyshev spacing of precision points, Two and three position synthesis of Four-bar mechanism  slider crank mechanism, Overlay method, Bloch’s method Transmission angle, Limit position  Least square techniques     LOWER PAIRS Universal joint- single and double, calculation of maximum torque Oldham’s Coupling, steering mechanism including Ackermann’s and Davis steering mechanism Mechanism with lower pairs, pantograph, exact and approximate straight line motion, engine indicator, elliptical trammel     BELTS, ROPES AND CHAINS  Materials, type of drive, idle pulley, intermediate or counter shaft pulley, angle and right angle drive, quarter turn drive, velocity ratio, crowning of pulleys, loose and fast pulleys, stepped or cone pulleys, ratio of tensions on tight and slake sides of belts Power transmitted by belts including consideration of creep and slip, centrifugal tension and its effect on power transmitted Use of gravity, idler, flat, V-belts and rope, materials, Length of belt, rope and chain drive, types of chains     CAMS  Type of cams and followers, definition-basic circle  least radius, angle of ascent Dwell, descent  action Displacement, velocity and acceleration diagrams for the followers with uniform velocity motion, simple harmonic motion, uniform acceleration and retardation and cycloidal motion, determination of maximum velocity, acceleration and retardation Analysis of follower motion for pre-specified cam profiles (tangent cams and convex cams)        GEARS     Toothed gears and their uses, types of toothed gears (spur gears, internal spur gears, spur rack, bevel gears, helical gears, double helical gears, spiral gears, worm gears), definitions, pitch circle diameter, pitch surface, pitch point, circular pitch, diametric pitch, module pitch, addendum, dedendum, clearance, addendum circle, outside diameter, internal diameter, dedendum circle, root diameter, base  Base circle diameter, face and flank of tooth, angle of obliquity or pressure angle, path contact, are of contact, arc of approach, condition for correct gearing, forms of teeth, cycloid and its variants, epicycloids and hypocycloid, involute methods of drawing an involute and cycloidal curves, interference in involute gears and methods of its removal, comparison of involute and cycloidal gear systems     GEAR TRAINS  Types of gear trains, simple and compound, epicyclic and reverted gear trains Sun and planet gear, differential Problems involving their applications, estimation of velocity ratio of worm and worm wheel, helical and spiral gears (determination of No of teeth, spiral angle and efficiency)           Course"
"  MEN203","  MANUFACTURING PROCESSES"," POWDER METALLURGY P  Advantages and limitations, Metal Powder products, Methods of Producing powders, Briquette and Sintering, Hot iso-static processing, Sizing and finishing operationsApplications of powder Metallurgy parts                                   METAL CUTTING 12 Advanced cutting tool materials, Geometry of single point cutting tools, Multipoint cutting tools, Tool life, Machinability, Knowledge of machining parameters Theory and Effect of  2 cutting fluid on cutting parameters Machine Tools used in metal cutting Lathe, Milling, Drilling Shaping, Slotting, Planning Sawing, Boring, Broaching Effect of machining parameters on machining responses Taper turning Eccentric turning and thread cutting, Indexing Simple, Compound, differential and Angular indexing Calculation of MRR PROCESSING OF PLASTICS AND CERAMICS ab Polymerization, Types of plastics, Processing of Plastics, Casting of plastics Calendaring,  3 Rotational moulding, Blow moulding, Manufacturing of helmet, machining and welding of plastics Classification, Properties, Processing, Doctor blade process Product applications of ceramics Machining and joining of ceramics  NONCONVENTIONAL AND ADVANCED MACHINING PROCESSES Need  10 and objective of nonconventional machining methods ECM, EDM, WEDM, USM, EBM,  4 LBM, AJM Working principle, Process parameters, Effect of process parameters on machining responses, Calculation of MRR, Applications  Introduction to hybrid machining processes, ECSM, TWECSM, STECM Process parameters FINISHING PROCESSES 6  5 Grinding, types of Grinding machines, specification of grinding wheel Honing, Lapping, Super finishing, Polishing, Buffing, Advanced finishing processes AFF, MRAFF  x a Number of"
"

MEN204","

STRENGTH OF MATERIALS  BASIC CONCEPT OF DESIGN"," SIMPLE STRESS  STRAIN 4 1 Stress-strain diagrams for various materials, concept of stresses and strains, relationship between elastic constants, stresses produced in compound and simple bars due to axial loading COMPOUND STRESSES 5 2 Generalized 2-D state of stress, stresses on an arbitrary plane under Generalized 2-D state of stress, principal stresses and principal planes, Mohr’s stress circle and ellipse of stress SHEAR FORCE AND BENDING MOMENT IN BEAMS 5 Shear force (SF), Bending moment (BM), Relation between rate of loading (w) with shear 3 force (SF) and bending moment (BM) SF and BM diagrams of cantilevers, simply sported beams with or without overhang under different types of loading eg concentrate loads, uniformly distributed load, uniformly varying load, moment or its combinations BENDING AND SHEAR STRESSES IN BEAMS 6 4 Theory of pure bending, Bending equation, Bending stresses in various cross-sectional beams under different loads, shear stresses in beams, variation of shear stresses in different cross-sectional beams GENERAL DESIGN CONSIDERATION 6 Scope and meaning of design with special reference to machine design, design process, 5 Concept of tearing, bearing, shearing, crushing, bending, etc Selection of materials, Factors of safety under different loading conditions, stress-concentration factors, Design stresses for variable and repeated loads Endurance limit, fatigue Fits and tolerances and finish FASTENERS 8 Cotters and cotter joints, pin fasteners knuckle joints 6 Screws, bolts, preloaded bolts, bolts subjected to shear, tension and torque, eccentrically loaded bolted joints Welded and riveted connection, eccentrically loaded, welded and riveted connections SHAFTS AND AXLES 8 Torsion and its equation for circular shafts, determination of principal stresses and maximum 7 shear stresses in circular hallow and solid shaft due to combined bending and torsion, application of torsional concepts in Shafts  Axles, Keys, Design of Rigid  flexible Coupling « , Number of"
"  MEN206","  ENGINEERING ANALYSIS AND DESIGN","s     INTRODUCTION  Introduction, the design process, Engineering design versus analysis, conventional versus optimum design process, optimum design versus optimal control, basic terminology and notation Design variables, cost function, design constraints A general mathematical model for optimum design, Design optimization model, maximization problem treatment, treatment of “Greater than type” constraints, constraint set, Active/Inactive/Violated constraints, Discrete and integer design variable, graphical optimization     SOLUTION TECHNIQUES FOR DESIGN OPTIMIZATION PROBLEM Introduction, single variables, optimality criteria, bracketing methods Exhaustive search method, Bounding phase method Region elimination methods Interval halving method, Fibonacci search method, golden section method, point estimation methods and gradient based methods Newton raphson method, Bisection method, Secant method, cubic search method Multi variables Optimization, Unidirectional search, direct search methods, gradient based methods, liner programming methods for optimum design  10           DESIGN OF EXPERIMENTS AND OPTIMIZATIONStrategy of experimentation, basic principles, guidelines for designing experiments, sampling and sampling distribution, Inference about the difference in means for randomized design, Inference about the difference in means for paired comparison design, inference about the variance of normal distribution, Design of experiments with a single factor and multi factor design, analysis of variance (ANOVA), introduction to factorial design     TAGUCHI METHODOLOGY Design of experiments - The Taguchi Approach, Taguchi philosophy, Concept of the loss                                                                             4 function, Experiment design strategy, Areas of application, Quality characteristic, Taguchi  8 quality strategy, Selecting design parameters for reduced variation, Signal to Noise ratio (S/N ratio), Analysis of variance (ANOVA), confirmation experimentation, F-test MATHEMATICAL MODELLING AND SIMULATION Introduction, Mathematical Modelling its needs, techniques, classifications and illustrations  5 Modelling through ordinary differential equation of first order Simulation Random number  10 generation, Simulation of continuous system, Discrete system simulation, Simulation of queuing systems, Simulation of PERT network  Course"
"  MEN207","  DYNAMICS OF MACHINES"," STATIC FORCE ANALYSIS 1 Equations of equilibrium, Couple, equilibrium of force and four force systems, Free body 5  diagrams, D-Alembert principle, Forces on slider crank mechanism, quick return mechanism  four-bar mechanism with more than two forces acting on a link, slider crank mechanismwith friction at turning pairs and numerical problems     INERTIA FORCES IN MECHANISM  Determination of forces and couples for a link, inertia of reciprocating parts Dynamically 2 equivalent system analytical and graphical methods with and without weight of connecting rod inertia force analysis of basic engine mechanism (crank connecting rod and piston etc) correction couple ,Torque required to overcome inertia and gravitational force of a four bar linkage inertia torque by analytical method     GYROSCOPE  Definition, axis of spin, axis of precision, gyroscope, gyroscopic couple, Gyroscopic effect 3 on the movement of ships and vehicles, ship and plane stabilization, stability of two and for 5 wheeler automobile and locomotive taking a tum, gyroscopic couple on stone crusher and numerical problems     FLYWHEEL AND TURNING MOMENT DIAGRAMS  Turning moment and crank effort diagrams for steam and IC Engine, dynamics of simple 4 horizontal and vertical engine Fluctuation of speed, co-efficient of fluctuation of speed and  6 energy, Punching press Simple problems on turning moment diagrams and the determination of a flywheel taking centrifugal stresses into consideration     FRICTION  Efficiency of inclined plane, limiting friction, laws of friction, angle of repose, Friction in v- threads, screw-jack, efficiency of screw jack, self locking, efficiency of self locking, pivots and collars bearing, flat pivot, flat collar bearing, single and multi plate clutch, cone and centrifugal-clutches, power lost in friction, uniform pressure and uniform wear,friction circle and friction axis of a link     BRAKES AND DYNAMOMETERS  Types of brakes, principles of friction brakes, band, band and block and internal  expanding shoe brakes, differential band brake, band and block brake, problems of these brakes, description of vacuum brake, types of dynamometers, measurement of power by prone brake and rope brake dynamometers, Heenan and Froude’s Hydraulic dynamometer, Bevis-Gibson’s flash light torsion dynamometer, belt transmission dynamometer     GOVERNORS  Functions, types and characteristics of governors, Watt, Porter and Proell governors 7 Hartnell and Wilson-Hartnell spring loaded governors Sensitivity, stability, isochronism  5 and hunting of governors, governor effort and power, controlling force curve, effect of sleeve friction numerical problems on these governors     BALANCING  Classification, need for balancing, balancing for simple and multiple masses, static and dynamic balancing — Primary and secondary balancing for reciprocating masses, inside and outside cylinder locomotive balancing, swaying couple and variation of tractive effort, 8 hammer blow, partial balancing of locomotive, balancing of the coupled locomotives and its  5 advantages, multi cylinder in line engines (primary and secondary balancing conditions and their applications), balancing of V-engines, balancing machines (Static balancing M/c, dynamic balancing M/c, universal balancing M/c), introduction of balancing of the flexible rotors           Number of"
" MEN208","  MECHANICS OF MATERIALS"," COLUMN AND STRUTS 1 Definitions, Euler’s theory of columns buckling, Euler’s equation for various end restraints,  3 Rankine and other empirical formulae DEFLECTION OF BEAMS Relationship between bending moment, slope and deflection, moment area method, method  6 2 of integration, Macaulay’s method, Use of all these methods to determine slope and  deflection for statically determinate and statically indeterminate beams under various loading conditionsSTRAIN ENERGY                 Strain Energy of various types of loads under different loading conditions, total strain energy  5  3 for a 3-D state of stress, strain energy of dilation and distortion for a 3-D state of stress, deflection of beams via strain energy approach, Castigliano’s theorem, Maxwell’s reciprocal theorem of deflection and their applications, numerical problems THEORIES OF FAILURES  4 Different theories of failures including Mohr’s  Octahedral theories and their comparisons  5 Graphical representation and yield locus of these theories of failures for 2-D state of stress, numerical problems SPRING  5 Close and open coiled helical springs under axial load and/or axial moment, leaf spring, flat  5 spiral spring, numerical problems CYLINDERS AND SPHERES  6 Thin cylinders and sphere, thick cylinder and sphere, comparison of thin and thick shell  6 theories, compound cylinders, hub-shrunk on solid shaft, numerical problems ROTATIONAL STRESSES  7 Stresses in rings, disc and cylinders due to rotation with and without hole Disc of uniform  6 strength numerical problems  BENDING OF CURVED BARS 8 Stresses in bar of small and large initial curvature, deflection of the curved bars, stresses and  6  deflection of curved bars eg crane hook and circular links of various cross section, application of Castigliano’s theorem for the curved bars, numerical problems           Course"
