"Code","Name","Detail"
" MIN 101"," INTRODUCTION TO MATERIALS  METALLURGICAL ENGINEERING","  HISTORY AND EVOLUTION  1 Definition, concept, scope and nature of materials and metallurgy industries associated to 4 Metallurgical Engineering and allied fields BASICS OF MATERIAL DEVELOPMENT  2 Principles of production of Ferrous and Non ferrous metals overview of alloy making and  4 units involved in such process OVERVIEW OF MATERIALS PROCESSING TECHNOLOGIES  3 Principle and overview of Heat treatment industry, Metal casting units, Material joining 4 technology etc BASICS OF MATERIALS SELECTION  4 Basics and principles involved in material selection for special applications like high 4 temperature exposure, nuclear reactor materials corrosion resistant materials etc SPECIAL AND NEW MATERIALS  5 Introduction to newer materials such as smart materials, biomaterials and their  4 applications FUTURE TRENDS IN MATERIALS TECHNOLOGY  6 Overview of recent advances in materials industry and metallurgical technologies which 4 guides the direction and progress of material technology ENTREPRENEURSHIP IN METALLURGY, AND ROLE OF INTELLECTUAL  7 PROPERTY RIGHTS 4 Concept, scope and challenges  Course"
"  MTN102","  PHYSICAL METALLURGY","s     STRUCTURE OF METALS AND ALLOYS Nature of metallic bonding, crystal structure of metals-Miller indices, Miller-Bravais indices, structure of alloys-Types of solid solutions, Hume Rothery Rules, Free energy of solid solutions, Intermediate phases, Numerical problems     IMPERFECTIONS IN CRYSTALS Point imperfections, Dislocations, High angle boundaries, Interaction between crystal imperfections     EQUILIBRIUM DIAGRAMS The Phase rule, Isomorphous systems, Lever rule, Coring, Eutectic system, Eutectoid, Peritectic, Peritectoid, Monotectic and Syntectic reactions, Micro structural changes during cooling-slow and non-equilibrium cooling, Study of Fe-Fe3C, Cu-Zn, Al-Si Binary diagrams, Numerical problems     SOLIDIFICATION IN METALS Energetics of solidification, Nucleation and Growth, Homogeneous Nucleation, Heterogeneous Nucleation, Growth of solid, Smooth or Stable interface growth, Temperature inversion in pure metals-Dendritic growth in pure metals, 8 Constitutional Supercooling, Dendritic Growth in Alloys, Freezing of Ingots, Segregation, Porosity     DIFFUSION IN SOLIDS Diffusion mechanisms, Fick’s laws and their applications in various Metallurgical phenomena, Kirkendall effect, Numerical problems           ENGINEERING ALLOYS Ferrous Alloys and Nonferrous Alloys"
"  MTN103","  THERMODYNAMICS OF MATERIALS","s INTRODUCTION AND BASIC CONCEPTS Scope, application, importance in  4  1 Metallurgical Engineering, state of system, thermodynamic equilibrium, properties of system  2 FIRST LAW OF THERMODYNAMICS Intemal Energy, Enthalpy, Heat Capacity, 6 CpCv, Hess Law, Kirchoff's Law, Numerical Problems SECOND LAW OF THERMODYNAMICS Limitations of First Law, Various  9  3 statements of 2° Jaw, Carnot theorem, Carnot cycle, Entropy, free energy, Gibbs Helholtz equations, Maxwell’s relationships, Statistical concept of entropy, Numerical problems  4 THIRD LAW OF THERMODYNAMICS 2 THERMODYNAMIC VARIABLES Activity, fugacity  Equilibrium Constant, 4 Chemical Potential and Numerical problems involving thermodynamic variables  6 SINGLE COMPONENT SYSTEMS CLAUSIS -Clapyron equations, Numerical 2 Problems  7 PHASE RULE  ELLINGHAM DIAGRAMS Temperature/free energy diagrams for 3  Oxides, Sulphides Halides SOLUTIONS Partial Molal properties, Gibbs Duhem equation, Ideal-Non Ideal  6  8 solutions, Raoult’s Law, Henry law, Sieverts law, Regular solutions, Interaction parameter, Interaction coefficient and Numerical problemsKINETICS OF METALLURGICAL PROCESSES Basics, first, second, third, zero  6  9 order reactions, collision theory, theory of Absolute Reaction rates, Activation Energy, Reduction of Oxide Ores,Kinetics of Roasting, Smelting, Numerical Problems  Course"
" MIN 201","  EXTRACTIVE METALLURGY FOR NON FERROUS METALS","  SCOPE OF MINERAL PROCESSING AND PRE-CONCENTRATION TECHNIQUES  1 Concept for mineral, ore and gangue Classification and their processing for enrichment, 7 Physiochemical principles of concentration techniques Froth floatation, Electrostatic and magnetic separators, Pre-concentration techniques Fused salt technology, Non aqueous technology SCENERIO OF NON FERROUS INDUSTRY  yi Present and future position on non-ferrous metallurgical industry in India -resources, 7   Production and consumption Economic importance of non-ferrous metallurgical industries UNIT OPERATIONS IN EXTRACTIVE METALLURGY  3 Industrial units used in metallurgical industry for roasting, calcinations and smelting 5 furnaces, Their design, constructions, advantages and disadvantages GENERAL METHODS OF EXTRACTION Pyrometallurgy Calcination, Roasting, Predominance area diagram, Smelting, Roasting  4 and Smelting furnaces Hydrometallurgy Leaching techniques and its variables, Types of  5 leaching Role of oxygen in leaching operations Electro Metallurgy Principal and applicationsGENERAL METHODS OF REFINING                                         5 Sublimation, Distillation, Fractional Distillation, Crystallization, Ion exchange, Solvent 5 Extraction, Liquation, Fire refining, Electrolytic Refining, Zone refining EXTRACTION OF METALS Refining of metals with reference to Physio-chemical principles Different methods of 6 6 purification of metal from bulk The various flow sheets of the production of Aluminum, Copper, Nickel, Lead, Zinc, Tin, 8 Gold, Silver, Magnesium and Titanium Course"
" MIN 202"," ELECTRO-METALLURGY AND CORROSION","     ELECTROLYTIC CONDUCTANCE  Electrolytic conductance of Aqueous, Electrolytic and Fused Salt Solutions - its 1 Measurement, Transport numbers Electrochemical cells -types of electrochemical cells # formed during corrosion Electrodes potential of half-cell, Standard electrodes potential, Electrochemical series, Nernst equation, Galvanic series, Potential-pH diagrams     ELECTROLYTIC CELL AND ELECTRODEPOSITION Faraday’s law, Current efficiency, Over voltage, Decomposition voltage, Cell voltage, Electro deposition of metals-throwing power, structure of deposited metals Electrodeposition of Alloys Control of properties of Electrodeposits eg Brightness of electrodeposit, Hydrogen absorption, Mechanical properties, Adhesion and Porosity Electrodeposition of metal powder and Electrocrystallisation              3 ELECTRODE KINETICS AND PASSIVITY 7Electrical double layer, Exchange current density, Mixed potential theory, Different types of Polarization, Evan diagrams, Passivity- its curve     CORROSION Its relevance, classification of corrosion processes eg Intergranular corrosion, Pitting,                                                                             4 Stress corrosion etc Their characteristics, metallurgical and other factors influencing 7 them, Mechanism involved for each of these corrosion types PROTECTION AGAINST CORROSION Protection by design and fabrication procedure, Control of environment, Protective 5 coatings, Heat treatment, Cathodic and anodic protection, Chromising, Phosphatizing, a Zine and Tin coatings High temperature oxidation, Introduction of corrosion resistant materials PRINCIPLES OF ELECTROMETALLURGICAL PROCESSES 6 Electropolishing, Electrolytic cutting, Machining and Grinding, Electrocleaning, 7 Electroforming, Electromining, Electrorefining, Electromelting and Electroetching Decorative applications Rhodium, Platinum and Gold plating  zi Number of"
" 3 MIN 203","   PHASE TRANSFORMATION","  1 INTRODUCTION > Phase transformations  An overview, concepts of surface and interface energy  THE THERMODYNAMICS OF PHASE TRANSFORMATION Revision of phase diagrams of metal alloys, Gibbs free energy, equilibrium and chemical potential, Gibbs phase rule, Single component systems-dG(T), Clausius-Clapeyron  2 equation, Binary (two component) systems-Ideal solutions, Regular solutions, Activity, 3 Real solutions, ordered phases and Intermediate phases, Binary phase diagrams- Miscibility gap, Ordered alloys, Eutectics and peritectic, Additional useful relationships, Ternary diagrams, Kinetics of Phase transformations  SOLIDIFICATION Liquid to solid transformation, Nucleation- Homogeneous nucleation, Heterogeneous  3 nucleation, Turnbull’s approximation, nucleation barrier, Melting point, undercooling,  4 freezing point in the realm of nucleation, atomic perspective of nucleation-nucleation rate, Heterogeneous nucleation,Choice of heterogeneous nucleating agent, Growth TIT CURVES From ‘Rate’ to ‘time’ the origin of Time — Temperature — Transformation (TTT)  4 diagrams,Derivation off(T,t) Avrami Model, Cellular Transformations, Derivation 6 off(Tt) Johnson-Mehl Model, applicationsof the concepts of nucleation  growth, and TIT/CCT diagrams PHASE TRANSFORMATIONS IN STEELS  5 Eutectoidtransformations, The pearlite reaction in Fe-C alloys, The bainite transformation, 9 The effect of alloying elements, Continuous cooling diagrams, Fibrous and interphase precipitation in alloy steels  PRECIPITATION  6 Precipitationin age hardening- precipitation in Al-Cu-alloys, precipitation in Aluminium, 5 Silver alloys, Quenched in vacancies, Age hardening, Spinodal decomposition, particle coarsening, The precipitation of ferrite from Austenite, Cellular Precipitation DIFFUSIONLESS TRANSFORMATIONS  7 Characteristics of diffusionless Transformations,Martensite Crystallography, Theories of  6 Martensite Nucleation, Martensite Growth, Pre-martensite Phenomena  TEMPERING OF FERROUS MARTENSITES  8 Carbon segregation, e- Carbide, Cementite, Alloy carbides, Effect of retained austenite, 4 Recovery, Recrystallization and grain growth, Temper embrittlement CASE STUDIES  9 Carbon and low alloy connected and tempered steel, Controlled transformation steels, The 3     shape- memory metal  Nitinol           Course"
"  MIN 204","  CERAMICS","  CHARACTERISTICS OF CERAMIC SOLIDS Structure and Bonding in Ceramics Bonding in Solids and discussion of Potential energy  1 Vs Separation curve Grouping of ions and Pauling rules and how pauling rules Determine 5 structure Critical Radius ratio and coordination number Discussion of Structure of NaCl, CsCl, ZnS, Diamond and silicates  2 IMPERFECTIONS IN CERAMICS Frenkel disorder, Schottky Disorder, Defect Association and Electronic Structure, Non  4 stoichiometric Solids  3 GLASSES (AMORPHOUS CERAMICS) 4 Sume glass basics, glass ceramics, examples  4 FORMATION OF GLASSES 4 Structure of Glasses, Properties of Glasses THERMODYNAMIC AND KINETIC ASPECTS OF CERAMIC MATERIALS Free energy considerations and Gibb’s phase rule Phase diagrams of one and two  5 component ceramic systems Introduction to ternary phase diagrams specifically MgO- 8 AbO3- SiO» and information obtained from it Diffusion in Ceramics Temperature and impurity dependence of Diffusion Diffusion in Crystalline Oxides Nucleation and Growth PROPERTIES OF CERAMICS Thermal Properties Thermal Conductivity and thermal expansion, Thermal shock and thermal Spalling Mechanical Properties Strength, Elasticity and Anelasticity, Creep of  6 Ceramics Electrical Properties Electrical Conduction and Ionic Conduction Electronic LD Conduction Polarisation, Dielectric loss and Dielectric Breakdown of Ceramics Magnetic ~ Properties Para, Ferro, Anti-ferromagnetism and Ferrimagnetism Magnetic Domain and Hysterisis curve Optical Properties Refractive index, Dispersion, Opacity and translucency Fiber Optics  7 APPLICATIONS OF CERAMICS 5Applications of the ceramics if different fields eg,in Refractory, Biomedical, Electronics, Aerospace etc                                                                                                               a Number of"
"  MIN 206","  ENGINEERING ANALYSIS AND DESIGN"," INTRODUCTION Introduction to Design and the Design Process, Evolution of Design Technology, Engineering design versus analysis, conventional versus optimum design process, optimum 1 design versus optimal control, basic terminology and notation Design variables, cost 6 function, design constraints A general mathematical model for optimum design, Design optimization model, maximization problem treatment, treatment of “Greater than type” constraints, constraint setActive/ Inactive/Violated constraints Discrete and integer design variable, graphical optimization, Role of Computers in Design Cycle SOLUTION TECHNIQUES FOR DESIGN OPTIMIZATION PROBLEM Introduction, single variables, optimality criteria, bracketing methods Exhaustive search method Bounding phase method Region elimination methods Interval halving method 2 Fibonacci Search method, golden section method, point estimation methods and gradient  10 based methods Newton raphson method, Bisection method, Secant method, cubic search method Multi variables Optimization, Unidirectional search, direct search methods, gradient based methods, liner programming methods for optimum design PLANNING OF EXPERIMENTS AND OPTIMIZATION Strategy of experimentation, basic principles, guidelines for designing experiments, sampling and sampling distribution, Inference about the difference in means for randomized 3 design, Inference about the difference in means for paired comparison design, inference  8 about the variance of normal distribution, Design of experiments with a single factor Multi factor design, analysis of variance (ANOVA), introduction to factorial design Life cycle estimation, Learning from failure, Case studies in the field if Metallurgical processes TAGUCHI METHODOLOGY Design of experiments- The Taguchi Approach, Taguchi Philosophy, Concept of the loss 4 function, experimental design strategy, Areas of application, Quality characteristics, 8 Taguchi quality strategy, Selecting design parameters for reduced variation, Signal to Noise ratio, Analysis of Variance(ANNOV A), confirmation test, F-ratio SPECIAL OPTIMIZATION TECHNIQUES 5 Integer programming, Geometrical Programming, genetic algorithms, simulated 10 Annealing, Stochastic programming, Particle swan optimization, Ant colony optimization, optimization of fuzzy systems, Neural Network optimization Course"
"  MIN 207","  MECHANICAL BEHAVIOUR OF MATERIALS"," CONCEPTS OF STRESS AND TYPES OF STRESS  1 Concepts of Stress and types of Stresses, Concepts of Strain and types of Strain, Units of  2 stress and other quantities  ELASTIC, ANELASTIC AND VISCOELASTIC BEHAVIOR  2 Elastic behaviour Atomic model of elastic behaviour, The modulus as a design parameter, i@ Rubber like elasticity Anelastic behavior Relaxation Processes Viscoelastic behaviour spring dashpot models  STRESS AND STRAIN RELATIONSHIPS FOR ELASTIC BEHAVIOUR Description of stress at a point, state of stress in two dimensions, state of stress in three  3 dimensions, Description of strain at a point, Hydrostatic component of stress, Elastic Stress 3 — Strain relations, Calculation of Stresses from Elastic Strains, Strain Energy, Anisotropy of Elastic behaviour, Stress Concentration PLASTICITY OF MATERIALS  4 The Flow Curve, True Stress and True Strain, Yielding and plastic flow, Dislocations the 2 basis for yield  DISLOCATION THEORY  Dislocation during growth of crystals Theoretical and observed yield stress, geometry of dislocations Burgers Vector, Right hand convention - Types of dislocations loops and motion out of crystals strain energy of mixed dislocation two hard particles simple relationship for forces between dislocation vector notation of dislocation in crystal  5 systems combination of dislocation stacking fault energy motion of extended dislocation 14 construction Frank dislocation Cross slip double jump Geometrical characteristics of dislocation Interaction of dislocations (simple cases) Motion of kinked and Jogged dislocation Non conservation method Motion creation of vacancies, Frank Read source, Sessile dislocations Lomer-Cotrell, stair-rod width of dislocation Pile up of dislocation, solid solution strengthening anti-phase boundary Yield unit Luder bands MICRO-PLASTICITY OF CRYSTALS  6 Slip planes and slip directions, Resolved shear stress, strain hardening and recovery of  5 single crystals, Twinning, Grain boundary sliding and diffusional creep  PLASTIC DEFORMATION  7 Grain boundaries, Strain hardening, strain aging, The tensile stress strain curve 3 temperature dependence, strain rate, strain rate and temperature, Creep  8 COLD WORKED STRUCTURE > Recovery, Recrystallization and Grain Growth  STRENGTHENING MECHANISMS  9 Cold working and annealing Recovery, Recrystallization and Grain Growth, dynamic 3 recovery, strain/ work hardening, solute hardening or solid solution strengthening, precipitation hardening, dispersion hardening, grain refinement  FRACTURE Types of fracture- ductile fracture, brittle fracture Theoretical fracture stress, Griffith 10 theory, Orowan Theory, Comparison with equation based on stress concentration Crack 4     velocities Inglis equation Dislocation model of crack nucleation Zener model, Cotrell- Hull model in BCC metals Fracture toughness, The ductile to brittle transition Methods of protection against fracture- surface treatment, compressive stressesCourse"
"  MIN 208","  METAL CASTING","  INTRODUCTION Casting, a process of shaping, Casting vis a vis other manufacturing processes, Properties  1 of cast products vis a vis properties of products made by other processes, History of  3 casting practices, Basic steps involved in the making of sand casting, Process chart of casting, Lay out of a foundry  2 PATTERNS and CORE BOXES > Types, allowances, functions, materials used for pattern/core making   3 MOLDING PROCESSES 2 Types and materials used  4 MOLDING MACHINES, EQUIPMENTS AND MECHANIZATION 2 MOLDING SANDS  5 General properties of molding sands, basic ingredients, additives, testing of molding sands 4 - moisture content, strength/GCS, permeability, clay content, mold hardness, clay content, AFS No etc, role of computers CORES AND CORE MATERIALS  6 Core making and machine used, various core making processes, venting, core assembly, 4 core setting, core prints and chaplets, Chills, core knock out and disposal, testing of core sand and core coatings, cores and casting defects Core Dryer and Air circulation SOLIDIFICATION OF METALS  7 Freezing of pure metals and alloys, shrinkage, fluidity and spiral test, hot tearing and 5     cracking, inoculation, metal filtrationPOURING AND FEEDING OF CASTING Pouring ladles, gating system, progressive and directional solidification, types of gates,                                         8 design of gating system, fluid flow, factors involved in gating design, pouring time, choke 5 area, sprue-runner- gate ratios, Riser-theoretical considerations, function, shape, location, types  MELTING OF METALS  9 Cupola furnace- construction and operation, coke bed height, Various types of cupolas- 5 cold/hot/divided blast, coke bed and stack gases, melting rate, combustion and melt temp, Induction and furnaces  10 CASTING DESIGN > Factors affecting casting design, Common design rules   11 SHAKE OUT, FETTLING, CLEANING AND INSPECTION OF CASTING 2 CASTING DEFECTS AND DIAGNOSIS BY NDT Inclusions blow holes, pin holes and porosity, Shrinkage, misrun, cold shut and cold lap,  12 Metal penetration, scab and rat tails, parting line shift and mismatch, Sand drops and mold 3 brake, Defect diagnosis by radiography, ultrasonic, magnetic methods and Eddy Current Techniques  13 ENERGY CONSERVATION AND ENVIRONMENT PROTECTION 1  z Z Number of"
