"Code","Name","Detail"
" PEN 101"," INTRODUCTION TO PRODUCTION AND INDUSTRIAL ENGINEERING","  HISTORY AND EVOLUTION  1 Definition, concept and scope of Production and Industrial Engineering, evolution of  4 Production and Industrial Engineering BASICS  2 Concept of manufacturing systems, design of manufacturing systems, operations and 4 management of manufacturing systems INTRODUCTION TO PRODUCTION ENGINEERING  3 Principles of good product design, tolerances and product life cycle, Machining, Metal 6 casting, Metal forming, Joining and welding processes INTRODUCTION TO INDUSTRIAL ENGINEERING  4 Product economy and production system, Concept of quality and cost, Logistics, 7 Production planning and inventory control, Operations research, Quality control  5 INTELLECTUAL PROPERTY RIGHTS 3 Concept, scope and challenges  6 FUTURE TRENDS IN PRODUCTION AND INDUSTRIAL ENGINEERING > New developments, applications and case studies ~ LABORATORY EXPOSURE IN THE FOLLOWING AREAS  7 Understanding the concepts of Turning, EDM, Welding, PLC, Surface roughness testing 2  and Work study           Course"
"  PEN 102","  INTRODUCTION TO MANUFACTURING","  INTRODUCTION Introduction to manufacturing, classification of manufacturing processes, classification of  1 engineering materials, comparison of material properties of metals, ceramics and plastics,  3 crystal structures, strain hardening effects, stress-strain curves Safety measures in workshop MATERIALS AND HEAT TREATMENT  2 Objective of heat treatment, classification of heat treatment, annealing, normalizing,  hardening  tempering, case hardening, carburizing, nitriding, flame hardening, induction hardening, applications of heat treatment FOUNDRY  3 Pattern, properties of pattern material, types of pattern, cores Types of sand, moulding 4 sand ingredients Types of moulding processes Types of casting processes sand casting, shell casting, investment casting and centrifugal casting Casting defects  remedies FORMING  4 Metal forming, types and applications, hot  cold working, forging, drawing, rolling and 3 sheet metal operations MACHINING  5 Metal removal processes, machines, single-point tool, cutting tool geometry, lathe - types, 3 elements and main parts of lathe, drilling, milling and grinding machines Applications FINISHING 2  6 Surface finishing processes, principle and applications, lapping, honing, super finishing, polishing, buffing, electroplating, galvanizing WELDING  7 Classification of welding processes, mechanism of arc formation, arc welding processes, 3 gas welding, and resistance welding, principles and applications, welding defects, causes and remedies Soldering and brazing PLASTICS MANUFACTURING  8 Types and properties of plastics, thermosetting and thermoplastic resins, elastomers 2 Fabrications of plastics, injection moulding, blow moulding, extrusion moulding etc MODERN MANUFACTURING PROCESSES  9 Introduction, classification of modern machining processes, electric discharge machining 2 (EDM), electro chemical machining (ECM), laser beam machining (LBM), Rapid Prototyping Techniques CASE STUDIES  10 Considerations of selecting manufacturing processes for industrial product like compact 2 disc, PCB and emerging applications  A a Number of"
"  PEN 201","  KINEMATICS AND DYNAMICS","OCITY ANDACCELERATION Basic concept of machines, link, kinematics pair, kinematics chain, mechanism inversions  velocity and acceleration (with analytical method), numerical problems  for kinematics chains, slider crank chains and its inversions Quick return motion (Crank and Slotted lever type and whitworth type), Instantaneous center of rotation of body, velocity of rubbing in pin joints, coriolis component of acceleration and advanced problems on     FRICTION  Types and laws of friction, inclined plane, efficiency of inclined plane, square and V threads, screw jack Disc  cone clutch Friction circle Friction axis of link, numerical problems        TOOTHER GEARING  Condition for smooth transmission of motion, nomenclature of involute teeth, involute rack, path of contact and arc of contact, interference minimum number of teeth, method of removing interference, helical and spiral gears, bevel gears, worm and worm wheel, their speed ratio, numerical problemsBELTS ROPES AND CHAINS Materials, types of drives, idle pulley, intermediate or counter shaft pulley, angle and right  4 angle drive, quarter turn drive, velocity ratio, laws of velocity ratio, crowning of pulleys, loose 6 and fast pulleys, belt length, stepped cone pulley belts, ratio of tension on tight and slack side of belt, HP transmitted, angle of contact, centrifugal tension, initial tension, rope guide, chain guide, types of chain, length of chain, numerical problems  GEAR TRAINS  5 Simple compound and epi-cyclic gear trains, estimation of their velocity ratio, numerical 4 Problems FLYWHEEL AND TURNING MOMENT DIAGRAM  6 Fluctuation of speed and energy, coefficient of Fluctuation of speed and energy, simple 4 problems on flywheel of a shearing machine  CAMS  7 Displacement, velocity and acceleration diagrams, profile of cams, determination of 4 maximum velocity and acceleration of follower, types of Cams, advance problems of cams with reciprocating and oscillating followers  BALANCING  8 Balancing of rotating masses, primary secondary balancing of reciprocating masses, 4 balancing machines GOVERNORS  9 Types of governors, terms used in governors, watt, porter, proell and hartnell 5 governor, effort and power of governor, stability Sensitiveness, hunting  isochronous, controlling force curve  < e Number"
"  PEN 202","  INDUSTRIAL METROLOGY","S OF MEASUREMENT Need of standards, classification primary, secondary and tertiary standards, traceability of 1 standards, length standards line and end standards, derivation of end standard from line 6 standards Slip gauges and their calibration, wavelength standards Angle standards angle slip gauges, precision polygons and divided circles LIMITS, FITS AND TOLERANCES Concept of interchangeability, types of interchangeability, need for standard systems of 2 limits, fits and tolerances, BIS 919 1963 standard system, selection of limits and fits exercises  6 on limits, fits and tolerances, design principles for limit gauges Taylor’s principle, types of limit gauges, tolerances on limit gauges MEASURING AND GAUGING INSTRUMENTS Design principles of measuring instruments kinematics design, principle of alignment 4 pivots and bearings, sources of error in measurement, calibration of measuring instruments 8 mechanical linear and angle measuring instruments vernier calipers, micro - meters, dial gauges, bevel protectors, sine bar spirit level, optical instruments autocollimator, tool room microscope, length measuring machines, comparators magnification principles, types of comparators, mechanical, optical, pneumatic, electrical and electronic comparators GEOMETRICAL METROLOGY 4 Concept of form errors, straightness, flatness, roundness, squareness and concentricity 6 errors and their measurements SCREW THREAD AND GEAR METROLOGY Elements of screw thread metrology, measurement of major, minor and effective diameters 5 of external and internal screw threads, measurement of pitch and screw thread angle, effect of  6 pitch error, elements of gear metrology, measurement of gear tooth thickness, gear profile, gear concentricity, pitch and run-out for involute gears, gear rolling test MEASUREMENT OF SURFACE FINISH 6 Concept of macro and micro errors, scales surface roughness measures, datum for surface 10 roughness measurement M and E system, measurement of surface roughness, stylus methods using mechanical, optical and electrical magnification"
" PEN 203"," METALLURGY AND CASTING TECHNOLOGY","Y Tron carbon diagram, solidification of pure metals and alloys, nucleation and growth in  1 alloys, solidification of actual castings, progressive and directional solidification Principles of  8 Phase transformations, Phase rule, Equilibrium diagrams, Recovery, recrystallization and grain growth HEAT TREATMENT Basic principles involved in heat treatment of plain carbon steels  alloy steels, Principles  2 applications of Annealing, Normalizing, Hardening, Tempering, Surface hardening of Steels,  8 Principles of Induction  Oxyacetylene flame hardening Procedure for Carburizing, Nitriding  Cyaniding, Harden-ability Jominey end quench test method INTRODUCTION TO METAL CASTING  3 Types of pattern, pattern allowances, pattern design, recent development in pattern design, 6 types of sand, properties of moulding sand, testing of sand GATING SYSTEM AND RISERING  4 Gating systems and their characteristics, various parts of gating system, Various types of 3 gates, various types of risers, function of riser, riser design  5 MELTING    4 Various types of melting furnaces, selection of melting furnace MOULDING/CASTING PROCESS  6 Sand moulding machine moulding, shell moulding process, investment casting process, 3 centrifugal casting process CASTING DEFECTS  7 Various casting defects, causes and remedies of the casting defects 4 POWDER METALLURGY  8 Characteristics of metal powders and production methods, Mixing and _ blending, 6     compacting, sintering and finishing, process principles, Defects and limitations and industrial applicationsTotal No of Lectures — 42                                                                       A a Number of"
" PEN 204"," MACHINE DRAWING","        BASICS OF MACHINE DRAWING 1 Review of ISI Standard SP 46 Types of Lines, Review of orthographic projection 6 Dimensioning  DIMENSIONING AND ORTHOGRAPHIC PROJECTIONS Dimensioning, Review of orthographic projection  SYMBOLS AND REPRESENTATIONS  3 Representation of machining symbols and welding symbols and joints, types of rivets  4 joints, Types of bolts, nuts  their locking devices, other fasteners Shaft Couplings LIMITS AND TOLERANCES  Limits, fit, tolerances, surface roughness, General Tolerances Surface quality symbols,                 4 terminology and representation on drawings, correlation of tolerance and surface quality 4 with manufacturing techniques Basic calculations and their drawing representations SCREW THREADS  5 Different conventions used on technical drawings, Types of threads, representation of  8 screw and other threads ASSEMBLY DRAWINGS  6 Review of sheet preparation, boundary lines, Title block, Bill of Material, Assembly 2  Drawings of various machine sub-assemblies and assemblies from detailed drawings, sketch of actual machine component                 Number of Turns Fasteners 1 Journal Bearin  Lathe Tool Post  Shaper Tool Post  Bench Vice  Lathe Tail Stock  Crane Hook  Gib and Cotter Joint  Knuckle Joint  Coup  Screw Jack  Swivel Bearin"
"  PEN 205","  TECHNICAL COMMUNICATIONS","  1 Overview of research writing, editing and design principles of technical and professional 3 communication  2 Information gathering, organizing and presenting effectively according to the audience and_  3 Purpose  3 Technical documentation, including such items as proposals, requirements, 5 recommendation reports and business correspondence  4 Lessons on Oral reports and public speaking 3  5 Lessons on Teamwork, participation in group discussion and interviews 3  6 Use of visuals and audio to communicate material effectively 3  7 Research techniques using the library and the Internet modes 3  8 Case studies and seminar with an aim to improve the communication skills 5        Course"
"  PEN 206","  ENGINEERING ANALYSIS AND DESIGN","roduction 1  Introduction, the design process, Engineering design versus analysis, conventional versus optimum design process, basic terminology and notation Design variables, cost function, design  6 constraints and general mathematical models for optimum design and case studies Engineering Analysis Role of analysis, the design spiral, Computer Aided engineering analysis visualization, analysis and 2  redesign, Statistical Considerations, safety and reliability Case studies on common Engineering 10 designs and mechanisms such as Clutch assembly, Sewing machine, Bore well, Single point cutting point, Riser design, Design of Key and Concept of hydraulics in design Reverse Engineering 3  Introduction, Steps, Rapid prototyping, Rapid manufacturing and applications Design for  6 manufacturing and assembly (DFMA) Case studies on DFMA 4  Learning from Failure Various failure case studies, Failure of machine components, Failure modes and effect analysis  4 (FMEA) and case studies Aesthetics in Engineering Design 5  Concept of visual design, Written, Oral and poster presentations and case studies 6 Design of Experiments and Optimization Strategy of experimentation, basic principles, guidelines for designing experiments, 6  sampling and sampling distribution Design of experiments with a single factor and multi factor  6 design, analysis of variance (ANOVA) and introduction to factorial design Taguchi Methodology Design of experiments - The Taguchi Approach, Taguchi philosophy, Concept of the loss 7  function, Experiment design strategy, Areas of application, Quality characteristic, Taguchi quality  8 strategy, Selecting design parameters for reduced variation, Signal to Noise ratio (S/N ratio), Analysis of variance (ANOVA), confirmation experimentation, F-test Finite Elements in Engineering Introduction, Stress strain relationship, temperature effects, potential energy and 8  Equilibrium Von Mises stress Finite element modeling (One dimension only) coordinate and  6 shape functions and potential energy approach  9 Engineering Ethics and team work 4 Engineering ethics, Intellectual property rights, Case studies and presentations Course"
"  PEN 207","  FORMING AND WELDING"," METAL FORMIN Introduction, classification, effect of forming parameters, hot and cold working processes,  1 true strain curves, determination of flow stress, Tresca and Von Misces criteria, metal  10 forming lubrication, lubrication mechanism, boundary mixed and hydrodynamic lubrication  ROLLING  2 Classification of rolling processes, rolling mills, products, variables, rolling defects and 3 controls Defects  Remedies DRAWING  3 Drawing of rods, wires, tubes, variables in drawing and operations, analysis of drawing 3 forces Defects  Remedies FORGING  4 Open and closed forging, Hammer, Press and Drop forging, analysis of forging forces, 3 sticking and sliding friction Defects  Remedies EXTRUSION  5 Classification of extrusion processes, equipment and variables used in extrusion Defects 3  Remedies  WELDING  6 Classification of welding processes, physics of arc, arc blow, welding symbol, types of V-I 6 characteristics, different types of power sources, Classification and selection of welding electrodes, welding fluxes,  METAL TRANSFER  7 Forces affecting metal transfer, classification of modes of metal transfer, parameter 2  effecting metal transfer WELDING PROCESSES Principle, advantages disadvantages and applications of Gas welding, SMAW, MIG, TIG,  8 SAW, Electro-slag, Plasma, EBW and LBW process Welding defects, brazing and  6 soldering, thermal spraying Heat affected zones Introduction to Non-Fusion welding processes resistance welding, solid state welding  TESTING AND CHARACTERIZATION OF MATERIALS  9 Destructive and non-destructive testing of materials tensile, bend and impact testing of 6  weldment and on weld metal, dye penetrant, magnetic particle testing < e Number of"
" PEN 208","  DESIGN OF MACHINE ELEMENTS","NDAMENTALS OF DESIGN   1 Scope and Meaning of design with special reference to machine design Concept of tearing,  5 bearing, shearing, crushing, bending etc Selection of materials, Behavior of materials Fabrication characteristics of materials Stress concentration, factor of safety under different loading conditions, stress concentration factors Design stress for variables and repeated loads Endurance limit, Fits and tolerance and finish  2 FASTNERS  Cotters and cotters joints, pin fasteners, knuckle joints, Welded joints and rivet connection, eccentrically loaded  3 DESIGN OF BELT DRIVE  Selection of a belt drive, types of belts, working stresses in belts, coefficient of friction between belt and pulley, belt joints, velocity ratio of a belt drive, slip  creep of the belt, length of an open belt drive, length of a cross belt drive Power transmitted by a belt V-belt, types of V-belts and pulleys, ratio of driving tensions for v-belt, v-flat drives  4 DESIGN OF GEAR DRIVE     Factors influencing the choice of a gear, condition for constant velocity ratio of gearslaw of  gearing, forms of teeth, cycloidal teeth, involute teeth, interference in involute gears,  minimum number of teeth to avoid interference Design considerations for a gear drive, beam  strength of gear teeth, permissible working stress for gear teeth, dynamic tooth load, static tooth  load, wear tooth load, causes of gear tooth failure, design procedure for spur gears and helical ear5 DESIGN OF SPRINGS  Types of springs, material for helical springs, compression spring terminology, end connections for tension  compression helical springs, stresses in helical springs of circular wire, deflection of helical springs of circular wire, eccentric loading of springs, buckling of compression springs, surge in springs, energy stored in helical springs of circular wire, helical springs subjected to fatigue loading, springs in series, springs in parallel, concentric or composite springs, helical torsion springs, flat spiral springs, leaf springs, construction of leaf springs, DESIGN OF A SLIDING AND ROLLING TYPE OF BEARINGS  6 Types of sliding contact bearings, hydrodynamic lubricated bearings, wedge film journal bearings, squeeze film journal bearings, lubricants, bearing characteristic number and bearing modulus for journal bearings, critical pressure of the journal bearing, sommerfeld number Design procedure for journal bearings, solid journal bearing, bushed bearing, split bearing or plummer block, design of bearing caps and bolts thrust bearings, foot-step or pivot bearings, collar bearing Types of rolling contact bearings, radial ball bearings, designation of ball bearings, thrust ball bearings Basic static load rating of rolling contact bearings, static equivalent load for rolling contact bearings  SHAFTS, KEYS AND COUPLINGS  Types of shafts, standard sizes of transmission shafts, stresses in shafts, maximum permissible  7 working stresses for transmission shafts, design of shafts, shafts subjected to twisting moment  bending moment, shafts subjected to axial load in addition to combined torsion and bending loads, design of shafts on the basis of rigidity Types of keys, strength of a sunk key, effect of keyways, types of shaft couplings, design of flange coupling, flexible coupling, bushed pin flexible coupling, oldham coupling, universal coupling  Course"
